id,tarih,plaka,marka,model,uretim_tarihi,km,parca_adi,parca_fiyat,iscilik_fiyat
24,2018-08-09,66-QSI-2982,TESLA,T3,2008,184456,BALATA,787,558
25,2018-09-03,48-VMH-3189,BMW,X3,2002,188659,DIREKSIYON POMPASI,850,1127
26,2018-10-30,72-HQZ-5400,TESLA,T3,2000,54203,BALATA,787,521
27,2019-10-24,46-YDL-1362,PEUGEOT,206,2006,111442,BALATA,787,1193
28,2019-01-09,15-UTI-3345,VOLVO,V4,2004,79616,BALATA,787,1038
29,2019-04-28,63-FGA-6489,TESLA,T4,2007,132625,DIREKSIYON POMPASI,850,1540
30,2018-08-23,69-MLT-2450,TESLA,T2,2011,27003,BALATA,787,340
31,2019-09-19,48-PVC-578,SAAB,S1,2012,127860,DEBRIYAJ RULMANI,566,1156
32,2018-03-21,42-ZPG-6717,TOFAS,SAHIN,2016,112728,DEBRIYAJ RULMANI,566,1508
33,2019-05-28,75-WQX-3666,PEUGEOT,407,2008,43160,DEBRIYAJ RULMANI,566,1777
34,2019-11-24,48-GTV-4647,TESLA,T3,2015,72866,DIREKSIYON POMPASI,850,1311
35,2018-10-06,30-AUN-2102,TESLA,T2,2004,135132,DIREKSIYON POMPASI,850,1691
36,2019-10-10,59-CGL-1353,FORD,KA,2000,147392,DIREKSIYON POMPASI,850,486
37,2019-06-19,30-HIP-5050,BMW,X7,2001,119604,DIREKSIYON POMPASI,850,888
38,2019-07-03,66-MRD-8492,FORD,FOCUS,2008,14294,BALATA,787,354
39,2019-10-06,50-FMI-2593,SAAB,S1,2004,124034,DEBRIYAJ RULMANI,566,1006
40,2019-12-02,72-FVF-2446,TOFAS,SAHIN,2001,112644,BALATA,787,589
41,2019-12-03,03-CVB-3780,FORD,FIESTA,2003,148541,BALATA,787,457
42,2019-12-18,39-TQC-99,AUDI,Q5,2007,186659,DIREKSIYON POMPASI,850,499
43,2018-09-24,62-BWC-2606,PEUGEOT,407,2015,178504,BALATA,787,518
44,2018-06-18,79-IDU-717,MERCEDES,S350,2013,128997,DEBRIYAJ RULMANI,566,1406
45,2019-10-30,60-TVI-5776,VOLKSWAGEN,JETTA,2004,165164,DIREKSIYON POMPASI,850,682
46,2019-09-26,22-LLV-3773,PEUGEOT,206,2012,132544,BALATA,787,824
47,2018-11-09,32-FSU-9910,TOFAS,KARTAL,2004,32520,DIREKSIYON POMPASI,850,1338
48,2019-07-03,49-SCU-9837,SAAB,S4,2006,89719,BALATA,787,1915
49,2019-09-30,77-MRD-7335,TESLA,T3,2008,156417,BALATA,787,1584
50,2019-04-28,61-HMT-981,FORD,FOCUS,2011,183001,BALATA,787,525
51,2019-01-22,44-CIT-3753,TESLA,T2,2011,151894,DEBRIYAJ RULMANI,566,1836
52,2019-03-30,60-SEU-3358,TESLA,T4,2009,87899,BALATA,787,1528
53,2019-09-08,74-TDY-4175,SAAB,S4,2008,92832,DIREKSIYON POMPASI,850,1934
54,2018-02-15,78-IEA-7798,VOLKSWAGEN,PASSAT,2000,70346,DEBRIYAJ RULMANI,566,1813
55,2018-12-14,15-HUK-7395,AUDI,Q7,2010,164525,DEBRIYAJ RULMANI,566,1141
56,2018-11-19,23-JHV-5272,TESLA,T3,2000,174211,BALATA,787,1686
57,2018-11-05,44-PCW-1918,FORD,KA,2016,173347,DIREKSIYON POMPASI,850,429
58,2018-05-28,80-YGF-5811,FIAT,500,2001,45684,DIREKSIYON POMPASI,850,441
59,2019-09-24,58-YRK-9288,VOLVO,V4,2016,152657,DEBRIYAJ RULMANI,566,1300
60,2019-09-22,18-EAA-5884,FORD,FIESTA,2014,98918,DEBRIYAJ RULMANI,566,1735
61,2019-05-09,79-BBK-1067,FIAT,DOBLO,2014,132739,DEBRIYAJ RULMANI,566,384
62,2019-05-07,19-ELU-5775,MERCEDES,E200,2000,180816,DEBRIYAJ RULMANI,566,1068
63,2019-02-11,54-MMI-4939,AUDI,Q5,2009,143774,DEBRIYAJ RULMANI,566,1343
64,2019-07-24,71-IMJ-4483,FORD,KA,2003,95045,BALATA,787,1906
65,2019-09-17,44-TBR-175,BMW,X7,2005,13623,BALATA,787,437
66,2019-08-28,61-ONF-4032,FORD,FOCUS,2012,126718,DIREKSIYON POMPASI,850,925
67,2018-01-24,32-EFC-6759,FORD,KA,2005,196329,BALATA,787,779
68,2019-02-08,07-MNR-9538,BMW,X5,2004,80986,DIREKSIYON POMPASI,850,355
69,2019-11-28,52-ILD-1272,AUDI,Q3,2005,141372,BALATA,787,839
70,2018-12-15,79-POL-8092,PEUGEOT,306,2007,181043,DIREKSIYON POMPASI,850,857
71,2018-11-26,42-UPV-2170,SAAB,S3,2015,191201,BALATA,787,1684
72,2019-02-01,45-NED-3381,SAAB,S2,2009,70093,BALATA,787,1638
73,2018-10-04,58-BKI-4854,FORD,FOCUS,2000,55129,DIREKSIYON POMPASI,850,1729
74,2019-02-10,63-ESY-4024,FIAT,EGEA,2000,110782,DIREKSIYON POMPASI,850,608
75,2019-05-02,19-ZDH-5552,VOLVO,V1,2014,139199,DIREKSIYON POMPASI,850,467
76,2018-07-22,19-IFV-3113,MERCEDES,E200,2005,55881,BALATA,787,1645
77,2019-02-07,38-BHQ-4895,FIAT,500L,2017,119258,DIREKSIYON POMPASI,850,1574
78,2018-03-10,63-XLK-1017,VOLVO,V2,2017,136397,BALATA,787,539
79,2018-03-28,72-REX-6792,MERCEDES,C180,2015,3779,DEBRIYAJ RULMANI,566,297
80,2018-07-06,43-JQV-1180,VOLKSWAGEN,POLO,2014,117670,DIREKSIYON POMPASI,850,723
81,2018-05-05,63-ILF-9250,BMW,X7,2002,181706,DEBRIYAJ RULMANI,566,916
82,2019-02-25,50-IEL-9341,FORD,FOCUS,2017,150369,BALATA,787,1870
83,2019-02-15,68-WFF-9052,FIAT,500L,2012,148424,DEBRIYAJ RULMANI,566,667
84,2018-01-08,39-TYR-6719,VOLVO,V1,2013,74626,DIREKSIYON POMPASI,850,1611
85,2019-05-02,61-IVN-2611,PEUGEOT,206,2006,133107,BALATA,787,1397
86,2018-07-22,13-FJC-9034,VOLVO,V3,2000,73588,DEBRIYAJ RULMANI,566,1138
87,2018-12-22,54-BNL-1219,SAAB,S1,2015,61734,BALATA,787,1349
88,2018-10-07,45-VAK-1911,TESLA,T3,2007,170240,BALATA,787,978
89,2018-01-24,37-YOH-4258,SAAB,S4,2008,184591,BALATA,787,1452
90,2019-11-01,76-VGK-5947,FIAT,500,2007,121040,DEBRIYAJ RULMANI,566,1256
91,2018-05-31,32-KFL-9723,MERCEDES,E200,2002,88969,BALATA,787,1319
92,2018-04-24,42-GQV-3555,FORD,KA,2014,24402,DEBRIYAJ RULMANI,566,976
93,2019-11-09,30-SKU-7150,VOLVO,V4,2003,113220,DEBRIYAJ RULMANI,566,1249
94,2018-06-28,39-AQH-262,AUDI,Q5,2007,107732,DEBRIYAJ RULMANI,566,518
95,2019-02-12,24-AMZ-7832,VOLKSWAGEN,PASSAT,2003,166895,DIREKSIYON POMPASI,850,315
96,2018-11-12,50-SYS-56,AUDI,Q3,2013,178199,DEBRIYAJ RULMANI,566,689
97,2018-01-30,77-KNW-1249,FIAT,DOBLO,2013,136267,DIREKSIYON POMPASI,850,958
98,2019-09-12,15-XBH-525,TESLA,T4,2002,55355,DIREKSIYON POMPASI,850,1598
99,2018-07-28,64-FSZ-1493,VOLKSWAGEN,POLO,2012,144111,DEBRIYAJ RULMANI,566,464
100,2018-11-20,20-FUD-236,TESLA,T1,2008,6734,DEBRIYAJ RULMANI,566,662
101,2019-11-14,16-LBL-1419,VOLKSWAGEN,POLO,2017,89284,DIREKSIYON POMPASI,850,1210
102,2019-08-31,12-TDS-2304,FIAT,EGEA,2001,188311,BALATA,787,1991
103,2018-10-25,49-BGM-9617,VOLVO,V3,2016,176845,BALATA,787,1302
104,2018-12-20,64-VSY-967,SAAB,S2,2017,138021,DIREKSIYON POMPASI,850,972
105,2018-06-24,62-YLI-4352,MERCEDES,E200,2009,4120,BALATA,787,446
106,2019-08-17,65-ZLG-5738,TOFAS,SAHIN,2007,102160,DIREKSIYON POMPASI,850,773
107,2019-03-28,64-WJI-6335,MERCEDES,S350,2014,143705,BALATA,787,514
108,2018-10-29,15-YYV-1224,SAAB,S4,2007,161856,BALATA,787,1924
109,2018-03-11,06-DTD-7210,FORD,KA,2003,137598,DEBRIYAJ RULMANI,566,1826
110,2019-08-26,69-ISJ-3784,MERCEDES,E200,2013,94108,BALATA,787,1472
111,2018-10-04,29-RGY-965,VOLKSWAGEN,JETTA,2000,113236,DEBRIYAJ RULMANI,566,1055
112,2019-12-02,47-IQX-263,SAAB,S3,2015,100029,DEBRIYAJ RULMANI,566,808
113,2019-06-13,17-OFQ-665,AUDI,Q5,2001,125229,BALATA,787,953
114,2019-12-28,37-JXA-1383,TOFAS,DOGAN,2012,1897,DEBRIYAJ RULMANI,566,1650
115,2019-01-11,74-LTR-6247,FIAT,DOBLO,2004,17656,BALATA,787,1055
116,2018-09-11,45-XNF-6744,PEUGEOT,407,2012,49290,BALATA,787,813
117,2019-02-15,73-VCU-7344,VOLKSWAGEN,POLO,2002,42752,BALATA,787,353
118,2019-06-14,77-LRP-1628,TESLA,T1,2005,32081,BALATA,787,747
119,2019-06-28,70-OOT-5412,TESLA,T3,2005,188514,BALATA,787,769
120,2018-12-11,81-JJY-5186,TESLA,T4,2007,141183,DEBRIYAJ RULMANI,566,1406
121,2018-04-10,73-OTS-974,FIAT,EGEA,2014,168871,DIREKSIYON POMPASI,850,1037
122,2018-04-16,09-NPM-6355,VOLVO,V2,2006,89173,BALATA,787,1266
123,2019-01-31,08-GYC-9406,TESLA,T3,2017,31452,DEBRIYAJ RULMANI,566,496
124,2018-06-20,02-FDW-1340,PEUGEOT,407,2013,38620,DEBRIYAJ RULMANI,566,884
125,2018-05-07,28-PTO-198,MERCEDES,E200,2008,104138,DIREKSIYON POMPASI,850,487
126,2019-08-08,53-YIR-6915,AUDI,Q5,2000,101447,BALATA,787,888
127,2018-11-12,74-ZVY-4852,TOFAS,DOGAN,2011,77587,DIREKSIYON POMPASI,850,1759
128,2019-06-19,70-RMH-2784,FORD,FOCUS,2006,130535,DEBRIYAJ RULMANI,566,1159
129,2019-12-13,17-CTM-8173,VOLKSWAGEN,POLO,2009,188310,DIREKSIYON POMPASI,850,831
130,2019-07-18,77-YKX-4205,FIAT,DOBLO,2001,82869,DEBRIYAJ RULMANI,566,935
131,2019-07-09,28-DYB-9089,FORD,KA,2008,12513,DIREKSIYON POMPASI,850,788
132,2018-06-22,38-VKT-2512,VOLVO,V1,2014,130209,DIREKSIYON POMPASI,850,1453
133,2018-12-11,25-TCD-2130,SAAB,S4,2010,73746,BALATA,787,611
134,2019-05-21,56-UMC-5205,VOLVO,V1,2005,166609,DIREKSIYON POMPASI,850,1592
135,2018-02-10,03-EEL-6720,VOLKSWAGEN,JETTA,2010,114608,DIREKSIYON POMPASI,850,1792
136,2019-05-27,39-XCR-8330,BMW,X7,2007,47787,BALATA,787,662
137,2019-03-19,25-FBC-4882,BMW,X3,2011,139475,DEBRIYAJ RULMANI,566,1352
138,2018-03-05,15-SET-9454,VOLKSWAGEN,POLO,2007,72600,BALATA,787,604
139,2018-11-09,10-ELO-8279,FIAT,500,2001,60794,DIREKSIYON POMPASI,850,855
140,2019-07-16,69-YYY-4177,SAAB,S3,2004,117608,BALATA,787,1006
141,2018-11-11,01-RVJ-2655,AUDI,Q7,2009,56722,DIREKSIYON POMPASI,850,1657
142,2019-12-17,61-VEJ-54,PEUGEOT,206,2010,178958,BALATA,787,673
143,2018-10-11,08-IAV-7531,PEUGEOT,306,2008,160512,BALATA,787,1241
144,2019-04-26,36-DBT-7571,VOLVO,V2,2015,139988,DEBRIYAJ RULMANI,566,1683
145,2018-03-13,62-XPU-5408,TOFAS,SAHIN,2013,152570,DIREKSIYON POMPASI,850,1306
146,2019-09-14,42-YSP-3181,VOLKSWAGEN,POLO,2013,177773,DEBRIYAJ RULMANI,566,452
147,2019-06-28,52-HVN-5602,SAAB,S4,2017,7758,BALATA,787,934
148,2018-06-29,24-SUW-1449,FORD,FIESTA,2011,164688,DEBRIYAJ RULMANI,566,835
149,2019-06-10,08-CFV-2339,SAAB,S2,2004,13913,DEBRIYAJ RULMANI,566,1104
150,2018-02-15,23-GYV-8252,PEUGEOT,206,2000,74900,DIREKSIYON POMPASI,850,1747
151,2018-07-27,43-QLB-2550,VOLKSWAGEN,JETTA,2001,132376,BALATA,787,1599
152,2019-12-14,42-VEC-279,TOFAS,KARTAL,2014,33885,DIREKSIYON POMPASI,850,497
153,2019-09-23,63-ABL-4124,TOFAS,KARTAL,2006,154974,BALATA,787,1971
154,2019-10-19,41-EVV-8553,VOLVO,V1,2004,107299,BALATA,787,1710
155,2018-10-03,08-WSD-2659,PEUGEOT,407,2016,15256,DIREKSIYON POMPASI,850,1132
156,2018-12-02,48-BCL-755,PEUGEOT,306,2012,148074,DEBRIYAJ RULMANI,566,577
157,2019-09-04,26-BRC-695,TOFAS,DOGAN,2014,173558,DEBRIYAJ RULMANI,566,761
158,2018-03-06,27-IEE-9594,FIAT,500,2017,173843,BALATA,787,1167
159,2019-11-27,67-QZZ-7395,PEUGEOT,306,2003,148042,DIREKSIYON POMPASI,850,1327
160,2018-07-29,19-QMJ-1266,VOLVO,V3,2002,170963,DIREKSIYON POMPASI,850,931
161,2018-12-02,49-JOR-9000,SAAB,S1,2015,72995,DEBRIYAJ RULMANI,566,1377
162,2018-08-13,68-XOX-9466,TOFAS,DOGAN,2013,5540,DIREKSIYON POMPASI,850,1499
163,2018-12-20,56-TBP-9457,TESLA,T1,2002,177964,DIREKSIYON POMPASI,850,1593
164,2019-11-25,53-TJF-9317,AUDI,Q7,2006,176762,DIREKSIYON POMPASI,850,845
165,2019-07-02,21-KNJ-2801,VOLVO,V2,2010,43541,BALATA,787,553
166,2019-07-17,75-RIG-5606,FORD,FOCUS,2001,136867,BALATA,787,1076
167,2019-03-11,24-MYK-3983,FIAT,DOBLO,2010,184278,BALATA,787,1817
168,2019-05-31,52-LXQ-5270,BMW,X5,2006,136858,DEBRIYAJ RULMANI,566,361
169,2018-05-24,28-SFH-9062,AUDI,Q5,2000,194831,BALATA,787,1325
170,2019-03-06,81-UIL-4927,VOLKSWAGEN,JETTA,2009,59318,BALATA,787,712
171,2018-12-08,32-LUR-4119,PEUGEOT,206,2010,66225,DEBRIYAJ RULMANI,566,457
172,2019-09-05,40-FMD-1538,VOLVO,V3,2008,40231,DEBRIYAJ RULMANI,566,452
173,2019-07-13,81-CPU-3276,FORD,FOCUS,2016,128767,DEBRIYAJ RULMANI,566,456
174,2018-05-05,62-ECL-5539,VOLVO,V2,2014,192669,BALATA,787,1804
175,2018-05-29,51-ITP-1303,VOLKSWAGEN,PASSAT,2004,145995,DEBRIYAJ RULMANI,566,1751
176,2018-09-19,65-SGA-6068,FIAT,EGEA,2003,50872,BALATA,787,1741
177,2019-03-07,21-NXV-6325,FIAT,DOBLO,2017,78991,DIREKSIYON POMPASI,850,560
178,2018-04-07,28-PIN-8868,TESLA,T2,2017,70501,BALATA,787,881
179,2018-09-07,15-ZFD-7321,FIAT,EGEA,2006,27664,DIREKSIYON POMPASI,850,680
180,2018-01-28,56-VGG-9980,AUDI,Q3,2003,172348,DIREKSIYON POMPASI,850,493
181,2018-01-13,61-LFI-9687,PEUGEOT,206,2017,137335,DEBRIYAJ RULMANI,566,1836
182,2019-05-04,71-AGT-9424,FORD,FIESTA,2008,100858,DEBRIYAJ RULMANI,566,275
183,2019-03-25,08-BDF-7766,VOLKSWAGEN,JETTA,2012,91702,DEBRIYAJ RULMANI,566,749
184,2018-03-13,07-UIY-7477,FIAT,500,2006,131218,DEBRIYAJ RULMANI,566,1253
185,2018-05-06,64-BGE-1178,PEUGEOT,407,2000,47526,BALATA,787,1146
186,2019-10-10,32-ARW-2801,AUDI,Q5,2003,98148,DIREKSIYON POMPASI,850,1894
187,2019-02-03,08-PCZ-5385,VOLKSWAGEN,PASSAT,2002,57379,DEBRIYAJ RULMANI,566,1584
188,2018-03-06,37-HBI-4429,VOLKSWAGEN,POLO,2013,97456,BALATA,787,1972
189,2019-08-10,69-XZI-8422,VOLKSWAGEN,JETTA,2005,185314,DEBRIYAJ RULMANI,566,898
190,2019-03-26,18-HDH-6354,TOFAS,SAHIN,2000,124969,BALATA,787,983
191,2018-09-06,70-XEM-7965,MERCEDES,C180,2016,107564,DIREKSIYON POMPASI,850,919
192,2018-07-02,58-KXI-9578,VOLKSWAGEN,JETTA,2015,184133,DIREKSIYON POMPASI,850,1599
193,2018-03-21,62-RKJ-1829,TESLA,T1,2009,10822,BALATA,787,398
194,2018-11-24,46-MGH-9726,MERCEDES,S350,2013,87730,BALATA,787,1601
195,2018-09-22,14-YSY-3446,MERCEDES,S350,2009,141388,DEBRIYAJ RULMANI,566,1666
196,2018-05-09,07-NHH-3372,BMW,X3,2000,87177,BALATA,787,840
197,2019-05-23,16-ULV-8586,VOLKSWAGEN,POLO,2016,37754,DEBRIYAJ RULMANI,566,1897
198,2019-08-29,27-AKH-7576,MERCEDES,C180,2004,197151,DIREKSIYON POMPASI,850,1011
199,2019-09-21,55-VSU-7290,AUDI,A6,2001,76033,BALATA,787,1704
200,2018-01-26,77-RIK-4286,TOFAS,DOGAN,2003,163425,DEBRIYAJ RULMANI,566,390
201,2018-07-30,56-RMS-6659,AUDI,Q5,2007,128316,DIREKSIYON POMPASI,850,820
202,2019-12-22,34-BXH-7531,FIAT,DOBLO,2008,122892,BALATA,787,1149
203,2018-03-23,06-FAM-7644,TOFAS,SAHIN,2001,24960,DIREKSIYON POMPASI,850,1623
204,2019-04-25,80-RZH-5908,PEUGEOT,206,2002,150084,BALATA,787,589
205,2019-01-27,72-NPG-9415,TOFAS,KARTAL,2011,3095,BALATA,787,648
206,2019-04-16,42-QNV-3584,FORD,KA,2013,115713,DIREKSIYON POMPASI,850,1255
207,2018-03-25,20-KQS-5198,FORD,KA,2017,15792,DEBRIYAJ RULMANI,566,848
208,2019-04-17,58-JLQ-6938,VOLVO,V1,2014,136482,DEBRIYAJ RULMANI,566,1187
209,2019-10-14,16-MES-5797,PEUGEOT,407,2007,88071,DEBRIYAJ RULMANI,566,1933
210,2019-04-19,66-YXF-6018,SAAB,S1,2006,122987,DEBRIYAJ RULMANI,566,793
211,2019-06-24,68-ZRO-2885,MERCEDES,E200,2012,130632,DIREKSIYON POMPASI,850,562
212,2019-12-19,25-EPG-5899,PEUGEOT,407,2004,3372,DEBRIYAJ RULMANI,566,413
213,2018-07-29,11-OHE-1933,PEUGEOT,206,2015,189359,BALATA,787,637
214,2019-01-03,59-RFP-1887,TESLA,T4,2014,6041,DEBRIYAJ RULMANI,566,1242
215,2019-11-22,03-DMZ-6519,MERCEDES,E200,2009,106578,DIREKSIYON POMPASI,850,1350
216,2018-03-24,71-XWB-5843,VOLVO,V4,2007,70760,DIREKSIYON POMPASI,850,1222
217,2018-11-08,28-WLB-777,PEUGEOT,206,2001,92082,DEBRIYAJ RULMANI,566,593
218,2018-03-07,02-MGQ-914,VOLVO,V3,2000,60798,DIREKSIYON POMPASI,850,1514
219,2018-12-04,15-RMR-1995,PEUGEOT,306,2004,75032,BALATA,787,1728
220,2019-06-30,17-VGP-9137,PEUGEOT,407,2006,73556,DIREKSIYON POMPASI,850,724
221,2018-05-01,23-ZQX-3476,AUDI,A6,2003,174097,DIREKSIYON POMPASI,850,1303
222,2018-12-25,39-JEL-7050,TOFAS,DOGAN,2006,88342,DEBRIYAJ RULMANI,566,1122
223,2018-07-11,56-OEZ-2797,FORD,FIESTA,2002,99181,DIREKSIYON POMPASI,850,1031
224,2020-01-01,76-BFU-3845,PEUGEOT,206,2004,164395,DEBRIYAJ RULMANI,566,1594
225,2019-09-08,11-HYO-5898,VOLKSWAGEN,JETTA,2015,40828,DEBRIYAJ RULMANI,566,1780
226,2019-08-24,30-CLD-8771,PEUGEOT,306,2007,67007,DIREKSIYON POMPASI,850,284
227,2019-04-22,06-GVL-8529,PEUGEOT,206,2010,139305,BALATA,787,1563
228,2018-08-18,32-GGO-9667,BMW,X7,2012,63843,BALATA,787,1900
229,2019-06-04,67-DLR-1367,BMW,X5,2000,112824,BALATA,787,1264
230,2019-10-08,26-HMB-9018,MERCEDES,S350,2012,131525,BALATA,787,1687
231,2018-10-15,14-ZDU-8564,FORD,FIESTA,2008,116808,DIREKSIYON POMPASI,850,1048
232,2018-03-06,74-ILB-9409,TESLA,T1,2005,51334,DEBRIYAJ RULMANI,566,1984
233,2019-10-06,61-JLT-6440,SAAB,S1,2003,22040,DIREKSIYON POMPASI,850,900
234,2018-10-22,81-JRO-7085,AUDI,Q5,2003,11808,BALATA,787,1749
235,2019-01-28,57-GOS-1997,VOLVO,V2,2011,95560,BALATA,787,1636
236,2019-08-02,74-NQY-7632,VOLVO,V4,2002,152442,BALATA,787,314
237,2019-03-27,22-YMH-7800,VOLKSWAGEN,POLO,2017,66238,DIREKSIYON POMPASI,850,1093
238,2018-09-02,64-KYA-883,VOLVO,V3,2014,163221,BALATA,787,444
239,2019-08-26,23-YFE-1611,VOLKSWAGEN,POLO,2014,34059,DEBRIYAJ RULMANI,566,651
240,2019-05-04,53-KLJ-4868,VOLKSWAGEN,JETTA,2000,11970,BALATA,787,1495
241,2019-07-25,43-EPF-3127,TOFAS,KARTAL,2006,142514,DEBRIYAJ RULMANI,566,296
242,2019-06-07,31-BKJ-1558,AUDI,A6,2014,173194,DEBRIYAJ RULMANI,566,278
243,2019-07-13,78-JMA-6930,FIAT,500L,2010,184329,DIREKSIYON POMPASI,850,1506
244,2018-09-09,75-IJR-8366,BMW,X5,2009,46982,DIREKSIYON POMPASI,850,1990
245,2019-09-26,20-JHE-5254,BMW,X3,2005,176996,DEBRIYAJ RULMANI,566,516
246,2018-08-08,25-JVP-114,SAAB,S3,2012,141260,DEBRIYAJ RULMANI,566,1834
247,2018-02-22,30-WRF-7068,SAAB,S4,2004,120373,DEBRIYAJ RULMANI,566,1947
248,2019-02-09,08-ASY-3012,PEUGEOT,206,2016,10048,DEBRIYAJ RULMANI,566,784
249,2019-05-27,07-FVL-4734,BMW,X5,2013,95576,DIREKSIYON POMPASI,850,1738
250,2018-09-16,58-BSC-7554,VOLVO,V1,2000,36999,DIREKSIYON POMPASI,850,1447
251,2018-07-07,19-AJC-8419,FIAT,EGEA,2007,181392,BALATA,787,1773
252,2018-04-08,27-ZSM-2634,VOLVO,V2,2017,135787,DEBRIYAJ RULMANI,566,1567
253,2018-12-05,37-PPY-933,TOFAS,DOGAN,2004,123996,DIREKSIYON POMPASI,850,1753
254,2018-06-18,06-BRA-7108,FORD,KA,2002,191521,BALATA,787,649
255,2019-06-24,31-NZN-6579,PEUGEOT,407,2016,27501,DIREKSIYON POMPASI,850,702
256,2018-05-16,38-QFO-1389,AUDI,A6,2015,6664,DEBRIYAJ RULMANI,566,1594
257,2019-03-20,17-FKT-378,SAAB,S2,2010,1799,DIREKSIYON POMPASI,850,589
258,2018-06-04,60-PAU-4919,VOLKSWAGEN,PASSAT,2005,189647,DEBRIYAJ RULMANI,566,891
259,2018-12-21,45-IYL-842,VOLVO,V3,2011,161628,BALATA,787,1452
260,2018-07-26,24-UJX-2836,BMW,X3,2014,151872,BALATA,787,538
261,2019-10-13,23-WES-2886,TOFAS,KARTAL,2010,65399,BALATA,787,824
262,2019-07-18,18-MIF-1385,MERCEDES,S600,2009,6130,DEBRIYAJ RULMANI,566,1310
263,2018-05-12,13-IFW-9573,TOFAS,DOGAN,2007,80880,DIREKSIYON POMPASI,850,1377
264,2018-01-10,06-QES-4477,SAAB,S4,2001,107940,BALATA,787,1407
265,2018-02-15,76-NLG-2214,SAAB,S3,2013,67019,BALATA,787,1360
266,2019-08-29,74-NBL-7145,FORD,FOCUS,2016,70336,DEBRIYAJ RULMANI,566,1672
267,2018-12-01,10-TXW-2868,SAAB,S3,2008,50930,DEBRIYAJ RULMANI,566,1324
268,2019-10-02,05-WNG-7608,FIAT,500L,2012,116904,DIREKSIYON POMPASI,850,738
269,2018-01-25,63-LKK-5710,VOLVO,V3,2009,7525,BALATA,787,422
270,2019-08-13,26-FSZ-7904,TOFAS,SAHIN,2006,15227,DIREKSIYON POMPASI,850,1107
271,2019-01-21,26-PUA-9076,VOLVO,V4,2010,26047,DEBRIYAJ RULMANI,566,1412
272,2018-11-27,61-ILT-9274,FORD,FIESTA,2015,147121,BALATA,787,616
273,2018-08-25,22-ZOQ-8472,VOLVO,V2,2006,133773,DEBRIYAJ RULMANI,566,1705
274,2018-12-26,42-ZHZ-3229,FIAT,500,2015,114519,DEBRIYAJ RULMANI,566,886
275,2018-08-24,67-PVD-6317,FIAT,DOBLO,2002,46887,DEBRIYAJ RULMANI,566,1780
276,2018-07-26,54-GUM-9500,VOLKSWAGEN,PASSAT,2008,20767,DEBRIYAJ RULMANI,566,1516
277,2018-10-12,72-JNM-7505,VOLKSWAGEN,JETTA,2016,56759,BALATA,787,1490
278,2019-07-23,54-OXZ-5313,TESLA,T4,2000,182153,BALATA,787,1100
279,2019-02-28,36-TZB-9000,MERCEDES,E200,2004,136766,BALATA,787,655
