id,tarih,plaka,marka,model,uretim_tarihi,km,parca_adi,parca_fiyat,iscilik_fiyat
49,2018-08-21,43-CKE-5889,FORD,KA,2012,144312,DIREKSIYON POMPASI,801,492
50,2018-09-11,54-FMF-674,FORD,KA,2001,136309,DIREKSIYON POMPASI,801,438
51,2019-12-27,32-QGQ-4386,VOLVO,V4,2016,143722,BALATA,699,1652
52,2019-05-10,05-CMQ-5280,VOLKSWAGEN,POLO,2011,54819,DIREKSIYON POMPASI,801,635
53,2019-03-07,29-LYP-1339,VOLVO,V3,2015,183037,DIREKSIYON POMPASI,801,1622
54,2018-12-24,37-NZL-4659,BMW,X5,2004,157570,DEBRIYAJ RULMANI,694,1532
55,2018-03-15,53-YES-6389,TESLA,T3,2010,99357,DIREKSIYON POMPASI,801,1303
56,2019-11-14,18-JIH-5196,AUDI,Q5,2002,40612,BALATA,699,679
57,2019-08-14,20-CHY-2813,MERCEDES,C180,2015,36758,BALATA,699,1881
58,2018-12-15,77-WJL-7561,TESLA,T2,2010,78951,BALATA,699,1634
59,2019-09-20,59-ZYI-9553,SAAB,S4,2002,188391,DEBRIYAJ RULMANI,694,1399
60,2019-07-02,58-FNI-6509,SAAB,S3,2000,47379,BALATA,699,1519
61,2018-10-02,56-YAR-6324,FIAT,500L,2002,151415,DIREKSIYON POMPASI,801,1105
62,2018-03-02,43-KJI-1211,MERCEDES,C180,2009,6568,DEBRIYAJ RULMANI,694,1971
63,2019-07-25,02-LVE-2111,AUDI,Q7,2002,68112,BALATA,699,1505
64,2019-04-14,61-ZXS-2701,FIAT,DOBLO,2015,57358,BALATA,699,481
65,2019-10-14,08-BBK-2096,VOLVO,V4,2010,30747,DIREKSIYON POMPASI,801,701
66,2018-06-07,42-ALQ-6670,TESLA,T3,2008,130989,BALATA,699,1903
67,2019-12-27,65-GIK-9000,SAAB,S2,2006,184808,BALATA,699,473
68,2018-11-28,16-CYB-5458,TESLA,T4,2013,114937,BALATA,699,304
69,2018-05-07,44-BJH-2599,TOFAS,KARTAL,2006,93673,DIREKSIYON POMPASI,801,1674
70,2018-06-22,59-LHT-8492,SAAB,S4,2005,87296,DIREKSIYON POMPASI,801,872
71,2019-09-23,79-HIW-7290,FIAT,EGEA,2001,51992,DEBRIYAJ RULMANI,694,2000
72,2019-03-30,18-VTP-7844,TOFAS,SAHIN,2007,166929,DIREKSIYON POMPASI,801,788
73,2018-05-22,12-AFX-8547,FIAT,500,2005,75291,DEBRIYAJ RULMANI,694,1341
74,2019-02-04,05-IEH-4981,PEUGEOT,407,2016,120680,DEBRIYAJ RULMANI,694,1226
75,2018-01-15,02-NIH-4520,TESLA,T2,2013,49177,BALATA,699,708
76,2019-01-03,71-WQJ-8780,VOLKSWAGEN,POLO,2004,124661,DEBRIYAJ RULMANI,694,1971
77,2019-06-20,78-GMX-6763,VOLVO,V1,2013,138562,BALATA,699,1341
78,2018-12-03,13-WXG-2210,AUDI,A6,2003,188134,BALATA,699,821
79,2018-04-21,67-PNO-2259,SAAB,S4,2009,120047,DEBRIYAJ RULMANI,694,977
80,2019-07-27,57-FGI-4362,BMW,X5,2017,50015,DIREKSIYON POMPASI,801,1078
81,2018-06-25,24-GZI-4439,AUDI,Q7,2003,34793,DIREKSIYON POMPASI,801,292
82,2018-09-25,56-MJS-1927,PEUGEOT,407,2005,39749,DEBRIYAJ RULMANI,694,1162
83,2018-07-10,63-GMD-9926,BMW,X3,2001,159127,DEBRIYAJ RULMANI,694,382
84,2018-12-21,30-PSZ-4354,BMW,X3,2008,64499,BALATA,699,1013
85,2019-02-17,78-RTC-4084,BMW,X7,2000,59899,DIREKSIYON POMPASI,801,1408
86,2018-10-20,23-MYB-404,TOFAS,SAHIN,2009,95119,DEBRIYAJ RULMANI,694,857
87,2018-06-22,24-HMN-2168,TESLA,T4,2015,105381,BALATA,699,1011
88,2019-10-22,53-TNO-8777,TESLA,T3,2014,48276,DEBRIYAJ RULMANI,694,806
89,2018-06-17,56-DIH-2173,BMW,X3,2013,182082,BALATA,699,1726
90,2019-11-27,75-JMG-8376,FIAT,500L,2017,97040,DIREKSIYON POMPASI,801,425
91,2019-04-18,65-IVP-6913,MERCEDES,E200,2005,8532,BALATA,699,1412
92,2019-06-24,03-ULG-4527,FORD,FOCUS,2000,47984,BALATA,699,856
93,2018-05-25,11-KAH-4397,TESLA,T3,2007,33644,BALATA,699,620
94,2019-01-09,07-SNB-6816,PEUGEOT,206,2015,146784,DEBRIYAJ RULMANI,694,1327
95,2018-02-21,78-XVI-9542,AUDI,Q7,2005,106803,BALATA,699,667
96,2019-09-25,61-TDZ-6963,BMW,X5,2001,139231,BALATA,699,790
97,2019-07-05,35-PFR-6569,TESLA,T3,2010,27184,DIREKSIYON POMPASI,801,822
98,2019-09-23,08-IBH-4861,BMW,X7,2000,27409,DEBRIYAJ RULMANI,694,252
99,2018-08-22,42-ISY-2305,VOLKSWAGEN,PASSAT,2016,1892,DIREKSIYON POMPASI,801,1750
100,2018-07-20,42-SOD-6786,TESLA,T4,2017,195194,DEBRIYAJ RULMANI,694,1005
101,2019-11-25,52-NME-9440,PEUGEOT,407,2000,7695,BALATA,699,1752
102,2019-07-03,03-YWJ-1750,VOLKSWAGEN,PASSAT,2011,121013,DIREKSIYON POMPASI,801,919
103,2019-06-19,65-KIS-3558,VOLKSWAGEN,PASSAT,2010,18465,DEBRIYAJ RULMANI,694,504
104,2019-02-10,16-MAZ-3470,AUDI,Q5,2001,10016,DEBRIYAJ RULMANI,694,597
105,2019-03-23,06-LSH-9837,FORD,FIESTA,2011,86127,DEBRIYAJ RULMANI,694,1369
106,2019-03-05,62-XID-5277,VOLKSWAGEN,POLO,2003,65260,DIREKSIYON POMPASI,801,372
107,2019-05-17,80-NYP-4549,FORD,FIESTA,2013,192465,DIREKSIYON POMPASI,801,1414
108,2019-09-09,40-NPG-7828,PEUGEOT,407,2006,53803,DEBRIYAJ RULMANI,694,1781
109,2019-11-29,77-IKB-7546,SAAB,S1,2016,170690,BALATA,699,757
110,2019-01-31,41-IQO-6292,BMW,X5,2002,179128,DIREKSIYON POMPASI,801,450
111,2019-01-29,25-VGA-5462,TESLA,T2,2012,128253,DEBRIYAJ RULMANI,694,362
112,2019-07-27,63-BLN-8359,BMW,X5,2007,66951,DIREKSIYON POMPASI,801,1130
113,2018-01-04,77-UCZ-2707,TESLA,T1,2004,176066,BALATA,699,1908
114,2019-03-29,14-SDV-7019,TESLA,T3,2003,196269,DEBRIYAJ RULMANI,694,953
115,2019-05-24,39-HWM-220,VOLKSWAGEN,JETTA,2007,47198,DIREKSIYON POMPASI,801,1278
116,2019-12-24,22-SOE-868,FORD,KA,2002,80597,BALATA,699,1291
117,2018-07-07,46-KDB-1378,PEUGEOT,306,2004,196056,DEBRIYAJ RULMANI,694,1269
118,2019-11-21,19-DKA-2608,VOLKSWAGEN,POLO,2014,67706,DEBRIYAJ RULMANI,694,1771
119,2019-07-04,41-IKG-4553,MERCEDES,S350,2010,32396,DIREKSIYON POMPASI,801,1613
120,2019-06-29,80-GOB-5999,PEUGEOT,407,2002,73121,DIREKSIYON POMPASI,801,1567
121,2018-09-18,49-BVQ-5309,VOLKSWAGEN,PASSAT,2006,49874,DIREKSIYON POMPASI,801,685
122,2018-01-29,53-BIZ-9435,SAAB,S3,2008,33303,DIREKSIYON POMPASI,801,276
123,2018-04-19,29-VEW-7666,TESLA,T2,2012,7787,DEBRIYAJ RULMANI,694,335
124,2019-05-01,73-DJK-5877,VOLKSWAGEN,JETTA,2006,118637,BALATA,699,1459
125,2019-04-22,38-ZJG-449,AUDI,Q3,2017,165413,DIREKSIYON POMPASI,801,1991
126,2019-08-13,69-WNN-1515,AUDI,Q3,2004,78793,DEBRIYAJ RULMANI,694,1312
127,2018-01-19,28-VBA-3401,VOLKSWAGEN,JETTA,2001,132485,BALATA,699,324
128,2019-01-03,62-DZN-3903,PEUGEOT,407,2006,100153,BALATA,699,1768
129,2018-02-14,43-YVK-940,TOFAS,KARTAL,2001,75766,BALATA,699,1954
130,2019-06-05,62-HCC-4489,TOFAS,DOGAN,2017,179749,DEBRIYAJ RULMANI,694,1175
131,2018-11-01,46-SQZ-7841,FIAT,500L,2012,136739,BALATA,699,1017
132,2019-05-26,08-EVQ-1676,VOLKSWAGEN,PASSAT,2007,14117,BALATA,699,1464
133,2018-10-08,21-XLW-7611,BMW,X5,2003,33671,BALATA,699,754
134,2018-12-01,39-IRZ-1909,TOFAS,KARTAL,2005,120681,BALATA,699,462
135,2018-03-18,16-KGE-1631,VOLVO,V2,2017,195005,DIREKSIYON POMPASI,801,1133
136,2018-01-06,68-DZN-284,AUDI,Q5,2016,157814,DIREKSIYON POMPASI,801,1857
137,2019-10-14,37-UFS-5101,SAAB,S4,2008,107484,DIREKSIYON POMPASI,801,1454
138,2019-08-20,50-OUH-1859,AUDI,Q7,2007,16246,DIREKSIYON POMPASI,801,1984
139,2018-04-14,53-VZN-1241,VOLKSWAGEN,POLO,2004,39031,BALATA,699,269
140,2019-07-03,29-NWE-6593,VOLKSWAGEN,JETTA,2005,139894,DIREKSIYON POMPASI,801,753
141,2019-05-26,20-TPA-3558,VOLVO,V3,2015,20517,BALATA,699,1156
142,2018-12-07,01-KPY-7300,PEUGEOT,306,2007,24326,DIREKSIYON POMPASI,801,412
143,2019-03-03,61-WRD-4356,FIAT,500L,2009,42758,DIREKSIYON POMPASI,801,1290
144,2018-07-13,41-YIJ-2601,FIAT,500,2009,37184,DEBRIYAJ RULMANI,694,878
145,2018-09-08,63-DLP-555,PEUGEOT,206,2017,80308,BALATA,699,1374
146,2019-06-27,14-PQD-4541,TESLA,T4,2009,171806,DEBRIYAJ RULMANI,694,495
147,2019-01-02,18-CCO-4630,FORD,KA,2000,103718,BALATA,699,747
148,2018-10-01,48-REX-5948,PEUGEOT,206,2004,168232,DIREKSIYON POMPASI,801,1206
149,2018-12-07,04-ZMC-4144,PEUGEOT,306,2000,99588,BALATA,699,670
150,2019-05-25,77-MBF-289,VOLVO,V4,2004,38821,DEBRIYAJ RULMANI,694,1868
151,2019-09-25,68-EQR-1322,TESLA,T1,2005,63398,DIREKSIYON POMPASI,801,1191
152,2019-07-14,40-LRZ-6309,SAAB,S4,2000,21399,DIREKSIYON POMPASI,801,414
153,2018-09-12,05-WBY-4697,VOLKSWAGEN,JETTA,2011,66233,BALATA,699,1615
154,2018-01-11,15-UGP-2293,FIAT,500L,2008,135496,DEBRIYAJ RULMANI,694,1802
155,2018-08-29,57-JNS-1313,SAAB,S4,2002,185436,BALATA,699,1796
156,2019-11-03,14-OGB-9100,VOLVO,V4,2013,7261,BALATA,699,803
157,2018-04-03,09-YKJ-9796,BMW,X7,2006,12656,DEBRIYAJ RULMANI,694,547
158,2019-05-29,61-TEB-9615,PEUGEOT,306,2008,51156,BALATA,699,449
159,2018-07-24,04-RER-9261,BMW,X5,2010,54456,BALATA,699,1379
160,2018-03-25,17-FKO-5770,TOFAS,SAHIN,2014,30867,DEBRIYAJ RULMANI,694,1386
161,2019-10-07,48-GHS-155,PEUGEOT,306,2014,112340,DEBRIYAJ RULMANI,694,409
162,2019-09-03,51-NUT-2022,VOLKSWAGEN,POLO,2006,182928,BALATA,699,550
163,2018-10-09,80-QOU-9851,MERCEDES,S600,2005,38159,BALATA,699,1627
164,2018-11-29,60-DKO-8468,TOFAS,KARTAL,2011,141663,BALATA,699,1862
165,2019-10-06,81-EUT-1670,VOLKSWAGEN,PASSAT,2003,188804,DIREKSIYON POMPASI,801,968
166,2018-05-25,15-HMI-9525,FORD,FIESTA,2011,170322,DEBRIYAJ RULMANI,694,1204
167,2019-05-06,47-DWX-6243,FORD,FIESTA,2013,146750,DEBRIYAJ RULMANI,694,1292
168,2019-11-25,55-BUX-8867,MERCEDES,E200,2015,105795,DIREKSIYON POMPASI,801,700
169,2018-07-01,17-CRH-7569,FORD,FOCUS,2015,97533,BALATA,699,786
170,2018-12-28,75-SRL-2657,VOLVO,V1,2008,78876,BALATA,699,1315
171,2019-09-09,78-GNF-9046,VOLVO,V1,2010,143322,DEBRIYAJ RULMANI,694,890
172,2018-05-03,52-STT-6077,AUDI,A6,2002,42746,DIREKSIYON POMPASI,801,1479
173,2018-06-29,75-ZWS-8312,BMW,X5,2015,79244,DIREKSIYON POMPASI,801,1710
174,2019-12-28,34-KDX-5200,AUDI,Q5,2006,123425,DEBRIYAJ RULMANI,694,1085
175,2018-05-28,27-IYM-8391,AUDI,Q7,2002,21191,BALATA,699,995
176,2018-06-04,71-EMK-1559,TESLA,T1,2004,160542,DEBRIYAJ RULMANI,694,464
177,2019-03-25,30-BFB-1939,FIAT,500L,2002,78537,BALATA,699,1161
178,2018-09-11,81-NEF-6923,AUDI,Q7,2013,21691,DEBRIYAJ RULMANI,694,1292
179,2018-06-15,65-GMX-9543,AUDI,Q7,2007,193320,BALATA,699,1210
180,2019-12-24,04-UNZ-1347,TESLA,T1,2004,192073,DIREKSIYON POMPASI,801,1457
181,2019-03-22,31-LHM-8805,TOFAS,KARTAL,2014,52330,DIREKSIYON POMPASI,801,1956
182,2019-12-31,73-DNR-5705,MERCEDES,S350,2007,79767,BALATA,699,1860
183,2019-12-13,16-VJN-8233,FORD,KA,2006,60089,DEBRIYAJ RULMANI,694,1111
184,2019-11-01,23-ZOG-5972,SAAB,S2,2007,70727,BALATA,699,1357
185,2018-01-21,05-XBZ-280,AUDI,A6,2005,140469,BALATA,699,1635
186,2018-10-22,04-RNK-343,TESLA,T4,2011,77400,BALATA,699,276
187,2018-08-09,64-JGI-8465,AUDI,A6,2002,121002,DEBRIYAJ RULMANI,694,1319
188,2018-01-26,36-QPQ-6447,TESLA,T2,2013,179852,DIREKSIYON POMPASI,801,884
189,2019-04-29,74-KGT-2769,AUDI,Q7,2012,192096,DEBRIYAJ RULMANI,694,380
190,2019-10-19,55-OYU-3966,VOLVO,V4,2004,46151,DEBRIYAJ RULMANI,694,1612
191,2018-08-15,44-NUS-2750,SAAB,S1,2017,165104,DEBRIYAJ RULMANI,694,751
192,2019-11-22,38-GYQ-9938,FORD,FOCUS,2017,118487,DEBRIYAJ RULMANI,694,984
193,2018-03-05,20-MWD-5629,FORD,KA,2017,127495,DIREKSIYON POMPASI,801,1610
194,2018-09-29,27-WNN-297,BMW,X3,2013,137203,DIREKSIYON POMPASI,801,1621
195,2018-05-23,77-KEB-5780,VOLVO,V3,2012,18071,BALATA,699,1713
196,2019-07-17,51-UTS-1543,VOLVO,V4,2008,123220,BALATA,699,1135
197,2019-12-15,16-VXS-4007,AUDI,A6,2002,102380,BALATA,699,892
198,2019-01-24,02-OJF-863,MERCEDES,S350,2014,141425,DEBRIYAJ RULMANI,694,848
199,2019-10-25,01-PIR-8739,MERCEDES,C180,2014,74598,DEBRIYAJ RULMANI,694,1714
200,2019-01-22,76-RYK-4086,BMW,X3,2012,88909,DIREKSIYON POMPASI,801,1546
201,2019-03-01,22-YCP-4173,VOLVO,V3,2002,90739,BALATA,699,1806
202,2018-09-22,04-NMD-2900,TESLA,T4,2003,15131,BALATA,699,836
203,2018-07-05,59-MCE-2977,VOLKSWAGEN,POLO,2002,130345,BALATA,699,625
204,2018-07-02,19-VTN-8146,AUDI,Q7,2003,139689,BALATA,699,579
205,2018-11-24,78-TCV-1615,SAAB,S2,2001,195513,DIREKSIYON POMPASI,801,773
206,2018-06-24,32-SHN-918,SAAB,S3,2001,52651,DEBRIYAJ RULMANI,694,1791
207,2019-09-14,16-XUD-9958,FORD,FIESTA,2016,157062,DEBRIYAJ RULMANI,694,1208
208,2019-12-13,54-HHG-5401,VOLVO,V2,2014,56334,DIREKSIYON POMPASI,801,998
209,2019-11-05,16-WCQ-1253,VOLVO,V4,2011,104422,DIREKSIYON POMPASI,801,1940
210,2019-06-18,27-KIL-8779,TESLA,T1,2003,6957,BALATA,699,419
211,2019-11-06,51-PKT-3594,SAAB,S1,2001,124898,DIREKSIYON POMPASI,801,1420
212,2018-11-02,08-KWQ-1560,TESLA,T1,2012,89737,DIREKSIYON POMPASI,801,1676
213,2019-05-09,76-KMN-2055,FORD,FIESTA,2017,109438,DIREKSIYON POMPASI,801,618
214,2018-02-22,60-EHD-4076,BMW,X5,2005,58595,DEBRIYAJ RULMANI,694,635
215,2018-10-04,77-PMW-6916,PEUGEOT,407,2016,37160,DEBRIYAJ RULMANI,694,1561
216,2019-01-23,37-TWN-4796,TOFAS,DOGAN,2014,89973,BALATA,699,1604
217,2018-01-31,70-KUO-9141,SAAB,S1,2001,44499,BALATA,699,1874
218,2018-02-03,53-VPX-7906,VOLKSWAGEN,PASSAT,2001,37928,DIREKSIYON POMPASI,801,1267
219,2019-06-18,63-IAJ-8494,FIAT,500,2006,121187,DIREKSIYON POMPASI,801,921
220,2018-06-27,32-PIT-9106,TOFAS,SAHIN,2005,123424,DIREKSIYON POMPASI,801,332
221,2019-08-21,30-MBP-9486,FORD,KA,2010,175179,DEBRIYAJ RULMANI,694,1341
222,2019-05-10,73-AZU-1728,TOFAS,KARTAL,2011,175541,DEBRIYAJ RULMANI,694,1754
223,2019-03-10,48-FUV-7334,BMW,X7,2006,155598,DIREKSIYON POMPASI,801,654
224,2018-10-30,31-CWZ-2758,AUDI,A6,2012,21529,BALATA,699,1790
225,2019-08-31,77-OYH-3433,VOLVO,V1,2004,70436,DIREKSIYON POMPASI,801,1250
226,2019-08-10,43-HOM-5969,TOFAS,KARTAL,2009,104244,DEBRIYAJ RULMANI,694,1554
227,2018-10-16,05-QSE-1126,BMW,X5,2014,147132,BALATA,699,1710
228,2019-06-03,58-THA-7125,TOFAS,SAHIN,2008,34232,DIREKSIYON POMPASI,801,1599
229,2018-09-24,31-TRT-8150,PEUGEOT,407,2006,16214,DIREKSIYON POMPASI,801,593
230,2018-12-22,49-TKI-5134,VOLKSWAGEN,JETTA,2004,89833,DEBRIYAJ RULMANI,694,1645
231,2018-05-12,41-CZR-3786,PEUGEOT,306,2000,4040,DEBRIYAJ RULMANI,694,323
232,2018-05-18,38-BDP-1707,FIAT,EGEA,2012,22871,DEBRIYAJ RULMANI,694,854
233,2018-01-08,73-KCO-8468,VOLKSWAGEN,POLO,2002,180867,DEBRIYAJ RULMANI,694,795
234,2018-12-20,17-HLA-1936,AUDI,A6,2013,162897,DEBRIYAJ RULMANI,694,1742
235,2019-04-20,05-YDL-1308,MERCEDES,C180,2010,161305,DIREKSIYON POMPASI,801,1806
236,2019-11-16,52-ECV-2197,BMW,X7,2002,91093,DEBRIYAJ RULMANI,694,567
237,2018-07-02,77-KJQ-1975,MERCEDES,S600,2002,16305,DEBRIYAJ RULMANI,694,538
238,2018-05-18,35-WUM-2347,VOLKSWAGEN,PASSAT,2015,41383,DIREKSIYON POMPASI,801,975
239,2019-11-20,65-WMV-4684,TOFAS,SAHIN,2009,131795,BALATA,699,980
240,2019-07-04,48-UPT-9708,FORD,KA,2001,78819,DEBRIYAJ RULMANI,694,1898
241,2019-12-13,77-MOW-7316,PEUGEOT,407,2004,148970,DIREKSIYON POMPASI,801,717
242,2018-12-19,51-CWC-1229,FORD,KA,2003,13512,BALATA,699,1178
243,2019-10-01,76-APQ-1593,BMW,X7,2004,60376,DEBRIYAJ RULMANI,694,1089
244,2019-11-18,25-SGQ-8536,TOFAS,KARTAL,2001,61987,DEBRIYAJ RULMANI,694,978
245,2019-09-13,33-YVP-8507,FORD,KA,2011,37823,DIREKSIYON POMPASI,801,1625
246,2018-03-09,78-ESB-471,TESLA,T2,2003,169203,BALATA,699,556
247,2018-06-05,52-BFV-9978,PEUGEOT,206,2007,156953,DEBRIYAJ RULMANI,694,1452
248,2018-07-28,43-IEF-6765,VOLKSWAGEN,POLO,2011,112485,DEBRIYAJ RULMANI,694,1983
249,2019-08-20,53-BWJ-5137,AUDI,A6,2014,149917,DIREKSIYON POMPASI,801,1956
250,2019-12-29,23-FET-7762,FIAT,500L,2013,23631,DIREKSIYON POMPASI,801,834
251,2019-06-02,21-YLS-378,VOLVO,V1,2014,65008,DEBRIYAJ RULMANI,694,1551
252,2019-11-05,44-PES-4449,AUDI,Q5,2005,68041,DIREKSIYON POMPASI,801,1574
253,2018-03-02,52-VSN-3188,MERCEDES,C180,2006,128505,DIREKSIYON POMPASI,801,1101
254,2018-08-08,23-KXS-7002,FIAT,500,2004,28345,DIREKSIYON POMPASI,801,1269
255,2019-10-31,16-NIC-2660,TESLA,T4,2015,86686,DEBRIYAJ RULMANI,694,1898
256,2018-09-16,48-HML-2499,FIAT,DOBLO,2010,186314,DIREKSIYON POMPASI,801,1439
257,2018-07-17,36-EQP-5940,PEUGEOT,407,2010,10103,BALATA,699,612
258,2019-09-06,62-HGQ-435,AUDI,Q7,2016,101836,DIREKSIYON POMPASI,801,1458
259,2018-10-08,03-HXQ-9707,BMW,X7,2016,146961,DIREKSIYON POMPASI,801,786
260,2019-12-26,32-EME-8108,BMW,X3,2004,78103,DIREKSIYON POMPASI,801,1779
261,2018-08-25,09-PJN-759,VOLVO,V3,2005,132199,BALATA,699,1993
262,2019-11-11,42-BAP-2556,TOFAS,KARTAL,2000,194286,DEBRIYAJ RULMANI,694,711
263,2019-09-05,07-TFP-4806,PEUGEOT,206,2002,31212,DEBRIYAJ RULMANI,694,458
264,2018-04-29,31-MXF-119,MERCEDES,S600,2016,13600,DIREKSIYON POMPASI,801,735
265,2018-04-24,22-YGC-3278,VOLVO,V4,2010,175760,BALATA,699,1471
266,2018-02-21,57-RIY-8099,TESLA,T4,2000,49362,DIREKSIYON POMPASI,801,1670
267,2019-03-18,16-YRO-3840,PEUGEOT,306,2007,198910,DEBRIYAJ RULMANI,694,1611
268,2018-12-09,68-QWU-5913,TESLA,T3,2001,1796,DIREKSIYON POMPASI,801,921
269,2018-12-07,33-ZZM-832,TESLA,T3,2005,125201,DIREKSIYON POMPASI,801,312
270,2018-07-02,45-AWW-4170,FIAT,EGEA,2007,121483,BALATA,699,1701
271,2018-01-17,19-DEC-3118,TOFAS,KARTAL,2010,28430,DIREKSIYON POMPASI,801,1207
272,2018-04-12,74-CIR-5264,MERCEDES,E200,2009,58055,DEBRIYAJ RULMANI,694,1623
273,2018-10-15,15-QCH-7628,VOLKSWAGEN,JETTA,2004,197710,DEBRIYAJ RULMANI,694,451
274,2019-05-28,37-ZZE-587,PEUGEOT,306,2001,140425,DIREKSIYON POMPASI,801,836
275,2019-02-24,40-RNP-3406,FIAT,DOBLO,2005,159341,BALATA,699,804
276,2018-10-10,61-FXC-5912,VOLVO,V3,2003,147008,DEBRIYAJ RULMANI,694,1999
277,2019-10-02,40-FEM-3600,BMW,X5,2015,147098,DEBRIYAJ RULMANI,694,1749
278,2019-01-23,77-LNJ-2172,MERCEDES,S600,2015,159982,BALATA,699,1178
