id,tarih,plaka,marka,model,uretim_tarihi,km,parca_fiyat,iscilik_fiyat
41,2017-06-13,59-WOA-5129,TOFAS,SAHIN,2003-06-07,115875,7518,1018
42,2013-03-02,51-WNS-4360,FIAT,500L,2000-09-13,37134,1465,1371
43,2010-09-29,77-WXV-3560,MERCEDES,S350,2008-11-05,140207,7788,1396
44,2000-05-15,66-VYN-8295,TESLA,T1,2000-05-01,47412,6730,931
45,2014-11-30,18-DRO-9850,AUDI,Q7,2009-01-06,46483,9409,1360
46,2013-01-25,20-KHS-9375,VOLVO,V4,2011-03-10,174389,4405,1073
47,2013-07-29,39-PEJ-450,TESLA,T2,2012-03-03,112490,5736,1436
48,2017-02-19,72-OOS-4994,PEUGEOT,206,2008-04-23,137602,5895,531
49,2017-05-30,53-VSZ-6289,VOLKSWAGEN,JETTA,2015-10-29,83846,2873,1985
50,2002-01-02,59-WFQ-9685,AUDI,Q5,2000-12-21,87327,4697,397
51,2014-09-26,53-CHF-8331,SAAB,S3,2010-01-30,52817,1705,767
52,2018-02-02,41-QMJ-8341,VOLKSWAGEN,POLO,2003-03-06,67459,3740,291
53,2001-03-10,70-HPD-5319,MERCEDES,S600,2000-07-07,108492,8474,1211
54,2005-08-18,11-ZRX-3964,SAAB,S2,2004-10-02,75398,2183,1404
55,2006-08-04,69-WDZ-5591,FORD,FOCUS,2004-02-07,47768,7916,627
56,2010-08-30,39-XYD-5782,BMW,X5,2008-06-25,64559,4160,361
57,2004-06-06,28-PIX-7497,VOLKSWAGEN,POLO,2003-12-18,50266,8069,304
58,2007-07-27,23-OJK-1625,BMW,X5,2007-06-20,10677,3827,1225
59,2018-06-30,20-MSA-4763,FORD,KA,2001-12-01,179968,2334,1233
60,2001-07-04,68-HPN-6891,SAAB,S3,2000-10-09,60446,7921,1518
61,2004-10-28,63-UVL-3121,BMW,X3,2000-09-25,28267,8581,1644
62,2010-07-12,44-DVB-5284,SAAB,S1,2009-11-03,91031,3889,1226
63,2005-06-12,53-YXU-5957,VOLVO,V4,2001-07-02,191748,5321,992
64,2019-08-24,34-SPA-1888,MERCEDES,S350,2015-02-10,123593,3966,952
65,2017-10-13,07-ETZ-1280,BMW,X5,2015-06-09,164518,3113,1493
66,2006-06-12,51-FXK-2993,SAAB,S1,2005-05-29,153690,2584,859
67,2013-12-20,49-BYL-2751,FORD,FOCUS,2010-01-08,92706,2824,1367
68,2016-06-06,20-RRG-9665,TESLA,T1,2008-06-13,86920,9046,810
69,2010-10-23,06-NQE-6276,AUDI,Q3,2007-05-26,69087,2094,418
70,2000-03-15,07-MCC-563,FORD,FIESTA,2000-01-04,98852,8372,1361
71,2000-05-02,79-ETS-3174,TOFAS,KARTAL,2000-03-24,141461,1687,941
72,2011-07-22,59-PDC-4944,SAAB,S1,2008-05-25,129909,9082,703
73,2016-11-07,60-STZ-8297,TESLA,T4,2004-02-02,170275,3961,273
74,2010-02-07,23-CID-7130,TESLA,T4,2009-01-26,46267,7883,1179
75,2004-08-12,80-PSG-1194,BMW,X3,2002-12-11,62052,7301,1197
76,2018-02-04,19-WWJ-3322,PEUGEOT,407,2002-06-28,44431,8884,1333
77,2001-11-30,03-OEB-3623,AUDI,Q5,2001-08-31,8031,3185,560
78,2007-03-06,67-CYY-6697,VOLKSWAGEN,JETTA,2003-11-10,22688,7642,1417
79,2016-06-18,10-HBH-5364,AUDI,Q5,2006-05-20,49494,1210,755
80,2008-08-09,29-JUW-7784,VOLVO,V2,2007-01-29,115980,1072,378
81,2005-05-18,56-SUH-298,TOFAS,SAHIN,2005-02-27,48220,616,302
82,2014-07-22,77-VWQ-2978,VOLVO,V2,2002-08-03,142018,1024,841
83,2000-12-11,33-AGQ-6295,FIAT,DOBLO,2000-11-09,174906,903,1044
84,2007-09-12,59-FOG-1080,SAAB,S3,2003-11-06,35151,2949,1364
85,2015-09-29,11-ALN-425,TOFAS,SAHIN,2009-02-17,180407,6894,1365
86,2013-05-23,71-UXQ-6032,AUDI,Q3,2007-05-09,120874,1878,784
87,2015-03-04,03-OEC-8843,FIAT,EGEA,2005-03-13,180779,3502,1091
88,2005-11-03,26-YKV-792,MERCEDES,C180,2000-06-01,184369,4758,415
89,2001-09-19,55-WAW-7685,SAAB,S4,2000-06-29,5253,7590,423
90,2015-01-09,73-XBK-6594,PEUGEOT,206,2010-08-13,82511,180,1821
91,2014-06-02,14-TZV-2296,VOLKSWAGEN,POLO,2012-02-02,99714,7159,291
92,2008-11-17,33-EGK-6766,TOFAS,KARTAL,2004-09-15,107376,3719,1260
93,2017-10-05,34-CQB-3237,TOFAS,KARTAL,2003-09-11,181427,2056,1364
94,2012-04-26,70-HSA-1422,PEUGEOT,407,2005-10-13,32600,4500,1138
95,2008-12-03,14-GLJ-4513,AUDI,Q5,2007-04-03,15301,3991,564
96,2015-11-29,48-AYN-9399,AUDI,Q5,2013-05-13,183546,7455,870
97,2013-08-28,51-MPP-7739,TOFAS,DOGAN,2001-10-03,68609,5430,692
98,2002-07-24,72-REQ-5155,PEUGEOT,306,2002-07-22,25456,7393,979
99,2017-04-30,37-HEF-8354,PEUGEOT,206,2009-01-15,96476,8169,1029
100,2017-01-18,81-MUX-1206,TESLA,T1,2012-08-28,122631,5413,1105
101,2010-05-23,63-DAL-2153,MERCEDES,S350,2007-06-21,60491,3404,486
102,2002-06-21,52-SZU-3976,BMW,X5,2002-01-17,102380,4065,1974
103,2006-06-10,73-HRG-5032,TOFAS,SAHIN,2003-08-06,175517,8756,1496
104,2011-03-03,35-LWM-2861,SAAB,S1,2009-12-03,24255,9911,589
105,2014-07-08,09-RVA-6833,PEUGEOT,407,2013-05-18,72470,249,1152
106,2007-11-07,19-LNN-4886,VOLVO,V1,2002-03-08,93205,2062,950
107,2010-03-15,30-MGZ-888,VOLKSWAGEN,PASSAT,2008-09-07,5418,3964,1925
108,2016-12-20,36-DZV-9983,TOFAS,SAHIN,2013-03-15,77065,9381,1009
109,2020-05-10,43-SPL-8571,VOLVO,V4,2000-12-10,182445,3567,1045
110,2012-02-20,46-UZC-7073,FORD,FOCUS,2005-09-11,180899,9939,440
111,2018-02-07,77-LKI-8336,AUDI,Q5,2014-05-08,94152,6979,1065
112,2012-02-12,22-HFQ-3425,BMW,X7,2009-11-03,8588,1036,1922
113,2016-08-06,36-XWP-7246,SAAB,S4,2003-12-12,29824,3961,293
114,2012-07-16,34-PEQ-6998,BMW,X5,2000-08-15,81838,475,1621
115,2001-10-29,35-QHO-6778,SAAB,S4,2000-04-24,199043,2423,889
116,2020-01-18,76-AXA-6744,AUDI,Q3,2008-07-31,193174,9365,1781
117,2000-05-26,64-RTE-8733,TOFAS,SAHIN,2000-02-13,65509,8338,1415
118,2015-12-30,67-OHU-890,TESLA,T4,2014-06-09,6064,7799,852
119,2013-08-14,05-TYZ-6956,MERCEDES,C180,2001-10-31,179384,1532,988
120,2012-05-23,74-BBU-6213,MERCEDES,S600,2000-03-31,8374,6756,505
121,2007-10-24,25-IBN-9929,PEUGEOT,206,2000-03-19,102598,9283,1718
122,2010-09-02,58-SEG-1340,TESLA,T1,2010-08-19,147087,8117,1680
123,2016-07-14,16-RIX-1796,VOLVO,V4,2001-08-20,6484,1781,942
124,2018-06-01,46-OOK-2384,VOLVO,V2,2006-10-09,159943,3994,1667
125,2007-01-01,41-EIN-8830,VOLKSWAGEN,JETTA,2003-12-24,154161,6027,1249
126,2016-06-16,40-FZT-4859,VOLKSWAGEN,JETTA,2008-01-13,92478,2700,1937
127,2015-02-19,74-YEV-6056,BMW,X7,2004-08-05,84374,1259,1070
128,2005-12-19,62-RWZ-9030,VOLVO,V3,2002-03-21,118582,2857,1490
129,2016-05-17,55-URU-7772,FORD,FOCUS,2007-07-24,23073,2740,1014
130,2019-08-15,62-OLI-4873,AUDI,Q5,2011-03-19,155229,6467,488
131,2000-07-28,59-SJA-7137,TESLA,T3,2000-02-17,88263,5036,560
132,2004-11-18,17-RET-313,MERCEDES,E200,2002-05-01,165496,1246,1555
133,2013-10-05,66-EYT-1181,PEUGEOT,306,2009-06-14,105285,4865,1588
134,2013-10-02,05-LPF-8000,TOFAS,DOGAN,2011-10-15,185851,1129,892
135,2006-01-02,34-KDD-6520,VOLKSWAGEN,PASSAT,2005-07-27,96543,3490,1309
136,2017-05-23,39-PNJ-2238,FIAT,DOBLO,2009-02-21,46623,1535,850
137,2014-02-19,16-OTR-3301,PEUGEOT,407,2010-09-06,97531,6835,1643
138,2000-09-02,68-LCM-2663,VOLKSWAGEN,PASSAT,2000-07-23,14522,1985,845
139,2007-10-14,50-SSA-954,MERCEDES,S600,2005-12-15,187467,4082,1327
140,2013-10-30,54-ESL-2689,TESLA,T1,2002-06-30,63750,2698,707
141,2004-01-11,41-OMW-716,FORD,FOCUS,2000-11-07,103277,993,975
142,2013-08-08,23-DZH-7651,TESLA,T2,2013-05-24,23440,6686,1206
143,2016-03-24,38-BDP-7253,TOFAS,SAHIN,2014-03-08,88458,326,1750
144,2015-06-16,31-HKM-1983,TESLA,T1,2004-11-17,133320,1036,266
145,2006-01-03,20-OEY-7195,VOLKSWAGEN,PASSAT,2004-12-23,115703,3600,749
146,2006-08-06,45-YVO-9421,SAAB,S1,2001-06-06,45720,3031,1399
147,2005-12-07,77-ZHO-9704,AUDI,Q5,2000-07-20,133493,2131,1087
148,2016-09-03,59-EMF-4904,TOFAS,SAHIN,2016-08-03,147095,2442,1284
149,2003-01-04,06-MAQ-1726,FORD,FIESTA,2001-11-26,84259,9502,387
150,2006-01-30,38-ITW-7783,BMW,X7,2001-09-23,158724,3887,258
151,2010-04-16,66-UTO-2903,SAAB,S2,2000-08-17,97797,7533,455
152,2013-04-18,56-XTR-9641,TOFAS,SAHIN,2007-04-26,55059,9157,600
153,2012-01-21,34-MLE-5905,FIAT,DOBLO,2009-08-19,89719,2678,1569
154,2006-11-29,55-GWU-1866,BMW,X5,2004-07-06,48933,7718,1768
155,2020-05-28,67-UDM-2496,TOFAS,KARTAL,2009-08-07,67387,4063,442
156,2016-06-07,43-ZVW-5493,TESLA,T3,2015-03-04,132853,8840,280
157,2003-10-29,65-TIW-4339,TOFAS,SAHIN,2000-12-06,139546,6556,1552
158,2009-02-07,25-JTM-9494,PEUGEOT,206,2003-02-27,126810,7490,377
159,2013-11-03,71-HFS-2103,TESLA,T1,2011-10-24,7918,8188,689
160,2016-01-16,18-VDA-9202,VOLKSWAGEN,JETTA,2001-08-26,63078,8398,1708
161,2019-07-17,39-OGS-1414,BMW,X7,2003-05-25,60980,188,1092
162,2011-03-16,28-JHA-2985,PEUGEOT,407,2001-05-28,51445,363,458
163,2006-06-01,04-UKK-4729,VOLVO,V1,2005-10-12,34768,5467,1301
164,2015-03-02,77-VRS-3320,SAAB,S3,2007-12-27,34858,8299,532
165,2006-03-25,24-CJW-336,MERCEDES,S350,2006-02-17,35883,7794,1423
166,2000-03-28,61-YBZ-2077,BMW,X7,2000-01-02,111801,4061,716
167,2015-01-08,64-YMQ-6895,FIAT,500L,2004-04-14,87534,6684,1751
168,2008-01-23,42-ZEG-8178,SAAB,S4,2005-10-24,79130,2776,677
169,2005-08-31,24-FDY-8076,MERCEDES,S600,2000-08-11,112873,3247,768
170,2010-12-19,31-EEN-2361,FORD,FIESTA,2000-12-28,154166,6922,1856
171,2014-09-02,25-KPR-9897,VOLKSWAGEN,JETTA,2011-12-08,112135,4076,953
172,2018-02-27,49-XAA-5546,FORD,KA,2002-11-19,132289,3130,1555
173,2004-12-08,59-GMV-9502,SAAB,S2,2001-01-02,121101,7169,1929
174,2003-04-19,60-VBX-9690,TOFAS,SAHIN,2001-10-06,85759,4340,1228
175,2015-10-06,03-SBC-5832,VOLVO,V1,2009-10-10,57286,5401,1449
176,2013-07-14,13-BKQ-6639,VOLKSWAGEN,POLO,2005-11-02,19584,5509,1153
177,2010-09-21,43-DEQ-9627,FIAT,500L,2001-01-11,116186,288,1110
178,2013-10-18,48-WJJ-7950,TESLA,T2,2000-09-03,38391,1966,853
179,2018-06-09,66-KFN-4034,VOLVO,V2,2012-08-22,177986,1247,914
180,2004-03-06,49-VVK-488,SAAB,S3,2003-09-09,116254,7613,1646
181,2016-06-11,01-QNU-3479,VOLKSWAGEN,POLO,2001-08-28,6976,1767,617
182,2016-11-27,68-QGR-5619,TESLA,T4,2012-09-19,167194,2646,1213
183,2014-07-01,33-EJG-6490,AUDI,A6,2008-07-23,181877,3863,544
184,2020-03-06,62-NFA-2628,SAAB,S2,2017-11-28,158630,5730,1449
185,2012-04-13,55-LVQ-8858,MERCEDES,C180,2001-06-21,124029,9944,354
186,2019-01-08,01-NMB-541,VOLKSWAGEN,JETTA,2004-01-30,60923,8577,1439
187,2018-08-27,26-SST-8277,SAAB,S4,2008-03-14,130348,8626,371
188,2012-01-13,10-YPB-1528,SAAB,S4,2006-11-06,159096,7793,1327
189,2013-02-22,10-CTT-3370,TOFAS,SAHIN,2007-02-14,108128,8434,687
190,2017-07-11,73-HHL-159,VOLVO,V3,2000-09-03,146686,4582,1944
191,2013-10-21,41-NFX-106,VOLKSWAGEN,POLO,2011-01-15,97886,7265,281
192,2010-02-03,81-RNI-7422,AUDI,Q3,2003-09-29,121420,795,918
193,2015-09-30,45-TTN-3460,FIAT,500L,2004-03-28,193215,558,620
194,2015-12-03,77-RIU-5060,BMW,X3,2012-04-06,178274,7323,1742
195,2005-06-08,08-QYA-740,MERCEDES,C180,2002-05-26,21675,6227,1548
196,2013-01-06,41-YPS-9482,SAAB,S1,2010-04-21,33132,7940,1764
197,2018-12-06,33-REF-3852,TESLA,T3,2014-12-20,46578,7929,1582
198,2000-12-05,81-QGJ-6155,MERCEDES,E200,2000-07-14,49687,8946,256
199,2012-01-16,54-QQS-7740,TESLA,T3,2006-02-26,56117,9146,338
200,2017-05-12,69-MWF-9248,BMW,X7,2005-02-14,125882,7908,1449
201,2000-05-18,17-MKC-9321,TOFAS,KARTAL,2000-03-02,83522,4439,1500
202,2018-09-23,56-ZXA-4074,TOFAS,SAHIN,2008-09-30,144608,9258,541
203,2018-03-01,38-TVE-4945,AUDI,Q3,2005-03-31,172245,9957,409
204,2003-02-10,37-DBM-3502,TOFAS,KARTAL,2001-05-29,179132,9622,968
205,2007-10-24,33-QQF-4078,FIAT,EGEA,2001-11-01,95642,6625,1085
206,2008-02-09,16-KQZ-1238,PEUGEOT,206,2003-12-30,196550,7873,477
207,2007-09-05,41-UMU-180,AUDI,Q5,2004-03-23,69161,4513,596
208,2008-11-07,69-RJE-2096,SAAB,S1,2001-12-10,45286,9852,693
209,2009-11-21,08-SOJ-9746,AUDI,Q7,2005-08-24,175327,1635,508
210,2019-01-31,06-KQF-2741,FORD,KA,2003-05-02,115141,1543,1734
211,2019-08-24,67-VHF-7716,VOLVO,V1,2018-02-08,1296,2284,445
212,2014-01-10,65-AXO-5245,VOLVO,V4,2005-05-01,16547,7140,825
213,2017-11-06,02-ICP-6847,SAAB,S1,2009-01-14,43025,8740,516
214,2010-05-04,35-PVM-1983,AUDI,Q3,2002-05-06,9238,5598,930
215,2009-02-07,53-VCY-7030,FORD,KA,2006-06-17,92824,2853,1493
216,2006-04-07,45-NKR-3159,FORD,FIESTA,2001-08-25,88946,7091,411
217,2018-10-25,10-YDG-5042,BMW,X3,2005-06-13,52870,1677,533
218,2017-10-01,76-QLD-9180,VOLVO,V1,2000-08-12,167165,3316,1801
219,2001-01-31,26-ZMZ-3523,BMW,X7,2000-10-04,199944,9233,376
220,2006-11-21,25-YBI-6418,VOLKSWAGEN,POLO,2005-06-23,164299,710,1139
221,2004-08-20,23-SHG-8098,PEUGEOT,306,2001-05-31,103769,2497,1946
222,2017-07-21,47-KLK-6802,PEUGEOT,407,2006-01-20,176606,9128,1790
223,2016-05-13,34-QUU-8050,VOLVO,V3,2007-11-23,70377,2801,1048
224,2016-02-04,38-NAV-7163,FIAT,500L,2014-12-26,86376,1126,1262
225,2001-03-15,63-MXF-2035,AUDI,Q7,2000-12-22,154477,7743,463
226,2014-02-05,12-XKF-99,TESLA,T2,2010-10-14,98612,4867,1713
227,2000-04-25,05-DYH-6087,TOFAS,DOGAN,2000-01-21,31345,3578,690
228,2010-01-20,06-UZP-3435,VOLVO,V4,2005-03-01,147638,6915,1612
229,2012-05-10,68-AUL-9932,MERCEDES,C180,2001-01-03,16817,2902,1103
230,2016-05-06,10-FUH-8294,BMW,X5,2002-09-08,58371,7948,856
231,2018-02-16,46-SON-4371,FORD,KA,2011-10-12,164935,4991,1734
232,2019-01-25,08-APY-7337,PEUGEOT,306,2002-12-17,151003,9483,1626
233,2004-02-11,14-TXT-3404,AUDI,A6,2001-10-31,134759,1130,1936
234,2011-12-31,58-ZHO-6455,MERCEDES,S350,2010-01-07,117542,3256,1817
235,2018-12-28,71-SCD-2757,PEUGEOT,306,2014-02-23,142291,5077,1933
236,2011-02-11,26-KVD-9049,TOFAS,DOGAN,2005-09-17,134049,2148,1160
237,2018-03-09,73-YXY-6311,PEUGEOT,306,2003-08-01,181354,859,1456
238,2015-05-08,11-XVQ-5242,BMW,X7,2014-10-13,195659,5675,775
239,2002-05-16,38-ZWF-4401,PEUGEOT,306,2002-01-06,124272,9750,1021
240,2004-03-07,29-PKM-8773,VOLKSWAGEN,POLO,2000-09-14,166270,2423,953
241,2005-07-24,43-CGW-6688,FIAT,EGEA,2004-12-24,184866,5972,1860
242,2019-09-06,81-SLT-1850,SAAB,S1,2015-11-05,179727,1742,1336
243,2009-02-16,15-ZZV-9683,TESLA,T3,2000-08-07,30115,7714,886
244,2018-08-07,44-ZAL-9440,BMW,X5,2014-05-01,90103,7665,1000
245,2002-11-02,81-QPY-8333,BMW,X7,2000-01-26,137440,5688,999
246,2006-03-15,30-QJL-3985,TOFAS,SAHIN,2003-06-22,45196,4338,1533
247,2004-03-13,39-IZV-9685,PEUGEOT,306,2000-02-26,160306,5715,1966
248,2006-11-24,19-FZG-8873,TOFAS,KARTAL,2005-07-07,20920,7297,461
249,2017-04-19,25-QAC-2954,TESLA,T4,2013-01-21,117063,9499,1366
250,2008-08-06,51-DRH-525,VOLVO,V1,2003-11-02,180210,3099,915
251,2000-12-31,78-DHK-5603,MERCEDES,C180,2000-05-05,71340,1253,295
252,2010-11-05,21-IYD-35,PEUGEOT,206,2001-03-11,124959,2894,718
253,2017-01-22,58-MFF-6269,FORD,FOCUS,2001-06-06,85414,3082,681
254,2016-12-11,37-YLL-379,FIAT,EGEA,2009-07-06,18450,7323,350
255,2009-01-03,74-IQO-8471,FIAT,DOBLO,2005-06-17,102656,9253,660
256,2001-02-03,57-NRP-7998,VOLVO,V1,2000-04-08,110411,3415,1379
257,2009-11-29,22-NFY-2930,FIAT,DOBLO,2009-02-14,71810,4703,1366
258,2006-03-22,46-PZG-7773,AUDI,Q7,2002-01-13,191736,8366,1911
259,2005-03-20,53-BUS-7008,TESLA,T2,2002-06-30,69036,5496,615
260,2005-07-16,27-OFJ-9531,BMW,X3,2004-05-29,78460,2935,1400
261,2013-09-05,71-OSE-3498,TESLA,T4,2000-09-24,131143,9457,730
262,2013-04-05,70-EBX-4345,AUDI,Q5,2006-01-16,4723,3212,1165
263,2020-02-14,72-DBY-5552,FIAT,DOBLO,2004-10-06,189538,9559,884
264,2009-10-22,81-HXJ-9040,TESLA,T3,2002-06-24,42135,6847,1595
265,2004-03-16,34-FSA-1306,PEUGEOT,306,2003-01-13,18546,2843,1924
266,2004-11-08,46-JJB-6136,TESLA,T2,2000-12-27,152644,2008,773
267,2004-01-24,72-QEL-9502,FIAT,500L,2003-09-29,169111,8365,1673
268,2002-03-17,76-KXY-2689,FIAT,500,2000-05-18,26125,1922,1977
269,2005-08-10,29-OOC-537,PEUGEOT,407,2000-12-27,161973,1502,1284
270,2001-07-19,59-KYG-2389,VOLVO,V4,2000-10-07,79640,340,1085
271,2007-11-06,41-HRN-3006,FORD,FIESTA,2004-12-28,1391,1018,1134
272,2014-12-13,19-EQW-3357,SAAB,S4,2007-09-08,11165,1481,1830
273,2006-08-25,79-HJQ-5701,AUDI,Q5,2001-05-08,176597,8171,481
274,2004-06-05,35-RWF-9450,MERCEDES,S600,2000-11-25,94472,8389,310
275,2000-01-29,18-FJF-127,TESLA,T4,2000-01-12,177872,9133,1884
276,2015-01-18,09-QIE-5843,VOLKSWAGEN,PASSAT,2012-04-25,38853,3157,751
277,2004-08-03,08-VCS-7793,SAAB,S2,2001-05-25,50370,3625,941
278,2002-10-20,44-OQQ-3727,VOLKSWAGEN,PASSAT,2000-07-19,125333,862,1481
279,2002-04-06,02-TXV-8533,VOLVO,V2,2002-02-12,164023,2418,741
280,2018-09-01,50-JIB-8099,MERCEDES,S350,2011-11-14,15094,4492,1634
281,2016-11-21,38-HIH-4436,VOLVO,V4,2003-01-25,182131,3572,1387
282,2002-11-05,65-GIO-9889,VOLKSWAGEN,JETTA,2000-10-19,65432,9143,431
283,2016-12-14,55-WTR-9984,SAAB,S3,2009-12-03,11260,4443,1101
284,2005-01-09,46-WBN-9423,AUDI,Q3,2000-05-18,155330,8546,679
285,2000-06-03,19-POP-3963,AUDI,Q7,2000-03-31,118205,4887,1778
286,2018-10-22,27-LXS-1611,AUDI,Q7,2005-01-10,162194,6750,1476
287,2018-03-29,46-VQF-9278,AUDI,A6,2016-01-14,96867,713,904
288,2000-12-15,05-YCW-5294,PEUGEOT,407,2000-04-09,195145,2601,424
289,2016-05-15,29-TAQ-5943,AUDI,Q7,2001-02-27,111063,5095,570
290,2017-02-09,33-CAR-9949,PEUGEOT,306,2010-12-03,198660,2198,535
291,2010-04-08,51-HXS-6172,FORD,KA,2003-04-19,4493,7125,561
292,2018-12-07,74-HTN-9466,VOLVO,V4,2013-05-10,142987,2393,340
293,2000-07-16,11-OCR-2736,TOFAS,DOGAN,2000-05-09,90409,3104,703
294,2002-12-10,33-RZY-6241,TOFAS,DOGAN,2000-05-18,96976,8220,747
295,2013-07-13,37-BNN-1720,TESLA,T3,2012-12-27,160242,4874,1161
296,2007-05-26,34-DON-7264,SAAB,S3,2000-12-22,121846,6332,1164
297,2006-03-22,76-MKB-6381,TESLA,T3,2002-08-02,5729,7555,1824
298,2010-10-11,68-SEZ-220,PEUGEOT,407,2007-05-29,103018,9427,806
299,2002-08-04,03-JSL-3064,VOLKSWAGEN,PASSAT,2000-03-30,176669,4893,1023
300,2001-03-03,66-OFJ-9221,VOLVO,V3,2000-11-30,79857,1242,384
301,2014-03-08,68-PEL-5733,AUDI,Q7,2006-11-04,63307,4459,359
302,2010-11-26,72-LNL-5817,BMW,X3,2000-11-22,97787,4035,1356
303,2017-12-16,51-FWN-6928,VOLVO,V1,2008-01-23,48868,2172,317
304,2014-12-26,48-GFI-7044,PEUGEOT,306,2011-05-02,19701,2060,548
305,2001-12-27,27-OMN-5828,SAAB,S1,2001-06-19,124153,7894,1057
306,2002-11-03,57-UWT-4107,SAAB,S1,2000-12-29,126768,6533,435
307,2004-02-18,20-HRS-9792,PEUGEOT,407,2000-03-30,66015,2286,1058
308,2008-05-29,34-JSE-6971,BMW,X5,2007-02-15,103028,5900,988
309,2007-03-07,52-OVY-5425,MERCEDES,S600,2001-11-19,167730,2735,854
310,2010-08-07,47-LMC-1156,VOLVO,V1,2010-05-06,132960,4351,621
311,2005-06-30,54-WYF-5229,VOLKSWAGEN,PASSAT,2000-04-11,1671,1825,719
312,2004-02-04,70-LHJ-9473,FORD,FOCUS,2000-07-10,95771,1934,1363
313,2017-05-03,31-ERN-643,PEUGEOT,306,2006-08-02,168733,4115,825
314,2019-01-16,64-UXV-7581,AUDI,A6,2011-07-15,39738,2376,453
315,2015-02-10,07-TKK-5055,MERCEDES,S350,2009-04-26,73770,1713,855
316,2000-06-22,64-JQL-8352,PEUGEOT,407,2000-03-28,130636,4029,1301
317,2005-01-05,58-HEJ-1488,VOLKSWAGEN,PASSAT,2004-09-03,111065,7834,374
318,2001-10-18,73-XGI-3126,TESLA,T2,2000-09-23,110109,3317,1120
319,2019-07-15,14-OOO-2550,BMW,X5,2006-08-31,166940,617,1459
320,2009-10-15,77-QGI-9828,FIAT,EGEA,2007-03-29,134829,7892,1361
