id,tarih,plaka,marka,model,uretim_tarihi,km,parca_fiyat,iscilik_fiyat
30,2018-02-01,25-INE-8477,TOFAS,KARTAL,2017-08-20,99205,3912,1686
31,2019-07-26,51-JPP-7160,TESLA,T2,2013-12-05,184498,8906,1739
32,2018-09-25,01-HCZ-5615,TOFAS,SAHIN,2017-03-24,164750,7613,757
33,2019-02-27,18-PZH-9631,FIAT,500L,2017-12-24,145120,6241,1127
34,2019-07-16,02-XCN-2037,VOLKSWAGEN,JETTA,2007-04-13,157835,6109,300
35,2018-09-07,31-GET-278,PEUGEOT,306,2011-03-19,114887,8130,356
36,2019-02-04,76-DHM-4714,VOLVO,V2,2004-04-01,154022,4255,622
37,2019-09-18,16-DQE-7039,FORD,FOCUS,2005-01-01,51413,3086,1881
38,2020-04-09,17-ISL-2366,PEUGEOT,206,2017-04-09,124533,4336,1729
39,2020-01-03,44-YFF-4603,SAAB,S4,2009-05-09,64165,85,1208
40,2018-12-07,18-KXE-1721,SAAB,S4,2011-10-14,65682,4791,378
41,2018-05-12,39-WSW-5559,PEUGEOT,407,2009-07-01,124122,7700,1422
42,2020-03-14,20-KUP-6707,AUDI,Q7,2019-11-26,149810,5374,501
43,2018-05-20,24-OWW-8310,VOLKSWAGEN,JETTA,2013-05-07,16252,2684,464
44,2018-07-04,16-LUM-2069,TESLA,T2,2015-06-10,151323,386,708
45,2018-05-21,55-BFP-793,MERCEDES,C180,2017-08-10,52869,7519,394
46,2018-12-11,78-HBJ-344,VOLKSWAGEN,POLO,2006-01-02,105137,2012,1875
47,2018-04-13,37-LBL-135,PEUGEOT,306,2012-09-30,113762,8406,1498
48,2018-06-28,10-HSM-2940,AUDI,Q7,2009-10-15,178489,3193,837
49,2019-09-08,70-GKB-4036,VOLKSWAGEN,JETTA,2003-06-22,161960,9881,640
50,2018-11-01,13-PWI-9314,FIAT,DOBLO,2011-05-17,116959,2969,855
51,2019-09-02,45-EXL-7596,SAAB,S1,2010-09-03,181066,2418,1626
52,2019-03-29,71-XQL-1931,PEUGEOT,306,2012-11-05,88820,7879,1465
53,2020-03-18,42-HFF-3176,SAAB,S2,2011-04-30,12330,9505,1361
54,2018-09-03,02-EAP-5361,FIAT,500,2007-05-31,164706,5416,1842
55,2019-10-30,11-IVO-1569,BMW,X3,2000-08-27,108450,1743,588
56,2018-05-22,67-JWK-8059,FORD,FOCUS,2007-08-08,25074,2463,1214
57,2019-03-29,02-HFU-7935,SAAB,S4,2008-11-18,186950,3086,1631
58,2019-10-04,08-NGW-18,FIAT,DOBLO,2000-08-26,179010,419,1087
59,2018-08-22,18-IXT-7808,FIAT,EGEA,2009-02-18,197569,8015,617
60,2020-03-17,43-XEP-1669,TOFAS,SAHIN,2017-06-27,108389,5497,1094
61,2019-10-15,11-QLE-5863,VOLVO,V3,2019-06-20,24046,4422,1012
62,2018-04-20,72-CPI-1228,TESLA,T1,2009-01-20,187694,9019,1183
63,2018-11-15,21-JFQ-8288,BMW,X7,2014-03-21,104198,2621,1844
64,2019-03-29,73-YZQ-2790,BMW,X7,2013-12-24,168993,5527,445
65,2019-07-31,33-XCT-9270,FORD,FIESTA,2016-10-24,71360,4621,575
66,2020-05-01,28-VCN-875,VOLVO,V4,2017-03-26,190231,5819,1892
67,2018-01-23,39-OVZ-848,PEUGEOT,206,2001-05-12,130243,1453,258
68,2018-10-19,24-PQJ-8275,FIAT,500L,2017-12-09,74831,2311,1641
69,2018-04-05,51-HWZ-1510,VOLVO,V3,2014-03-06,56741,7921,1834
70,2020-04-12,39-VIB-205,TESLA,T1,2016-07-01,118142,8752,1604
71,2019-08-07,46-PRB-7450,SAAB,S2,2004-09-18,61832,6461,1048
72,2019-03-28,33-CWU-5735,TESLA,T2,2014-07-21,138474,8007,679
73,2019-07-02,33-TCF-5107,PEUGEOT,206,2018-02-17,45293,2695,1806
74,2019-01-10,10-DXC-4082,MERCEDES,S350,2010-02-08,53818,3509,1616
75,2020-01-18,11-UYX-3701,AUDI,Q5,2019-06-10,53319,1340,1688
76,2019-10-13,35-QCM-5874,TESLA,T2,2012-07-17,131549,5096,673
77,2018-12-02,55-JSQ-8640,VOLVO,V4,2005-08-25,121296,9867,1031
78,2018-09-19,47-QSG-4964,FIAT,DOBLO,2014-04-11,96787,521,434
79,2019-01-03,61-KWA-649,BMW,X3,2006-05-23,9840,2473,1435
80,2018-11-12,72-IXC-4357,TESLA,T1,2010-08-27,115660,3019,1058
81,2019-05-30,64-UBN-1022,VOLKSWAGEN,JETTA,2008-04-02,29861,2817,1871
82,2019-10-20,53-DCS-5805,TOFAS,DOGAN,2009-08-15,7011,5302,1854
83,2018-06-25,74-DHG-6251,FORD,FOCUS,2001-01-14,24340,3395,707
84,2018-05-28,72-BHC-7145,AUDI,Q5,2017-10-27,102950,3937,1795
85,2018-05-25,54-UDA-1142,FIAT,500,2007-04-29,182597,6302,1257
86,2019-03-06,70-FHL-4963,BMW,X5,2006-04-27,145451,350,1503
87,2019-02-21,77-HBG-2342,VOLKSWAGEN,JETTA,2015-01-08,61954,8190,501
88,2019-03-04,30-CPD-5484,VOLKSWAGEN,JETTA,2011-11-22,4783,2064,989
89,2019-06-20,77-XML-5757,TESLA,T2,2001-02-08,80103,8583,703
90,2019-10-07,23-LIF-1332,MERCEDES,E200,2000-12-22,106798,6601,1709
91,2018-10-03,30-IDC-9620,FORD,FIESTA,2004-01-25,88287,4188,419
92,2018-01-09,67-ORI-84,BMW,X3,2017-08-08,163857,9383,1866
93,2018-02-14,62-FMF-5439,FIAT,500L,2014-08-31,187318,7264,1322
94,2018-07-27,16-FVY-8661,FIAT,500L,2009-12-26,45091,4422,916
95,2018-02-26,12-JTL-4220,MERCEDES,S600,2011-10-07,160903,8619,1266
96,2018-06-28,53-RTN-8384,AUDI,A6,2006-06-03,170936,982,1779
97,2020-03-05,79-AEE-3683,VOLVO,V1,2000-04-25,54469,2226,582
98,2018-02-08,02-JYK-9305,TOFAS,SAHIN,2011-07-02,195649,657,1650
99,2018-10-21,02-HFX-3537,VOLVO,V4,2017-10-01,168762,2071,1209
100,2018-06-30,81-NST-3475,BMW,X7,2013-08-15,21034,8576,1616
101,2019-07-21,11-MXI-1624,MERCEDES,S600,2009-08-31,135742,2045,1714
102,2020-05-17,59-KPH-6650,VOLKSWAGEN,JETTA,2012-10-04,52207,564,835
103,2018-10-26,56-SLK-1285,FORD,FOCUS,2008-04-26,125210,1113,1541
104,2019-03-09,81-HWL-2398,TOFAS,DOGAN,2001-06-26,188600,2328,1069
105,2018-11-26,38-HQO-9971,VOLKSWAGEN,PASSAT,2005-07-25,116509,8733,1952
106,2019-02-12,67-JEV-3727,BMW,X5,2003-03-06,99422,2959,814
107,2020-01-16,53-FKA-1304,SAAB,S4,2005-06-17,17777,8322,1927
108,2018-03-26,65-KWY-4209,PEUGEOT,206,2017-03-25,124597,4419,892
109,2018-11-28,07-KIV-9729,TESLA,T4,2006-09-17,167395,2753,901
110,2018-12-01,68-CSZ-795,VOLVO,V1,2017-12-31,91344,9604,1939
111,2019-01-27,55-UXB-597,BMW,X7,2017-01-16,10695,835,684
112,2019-05-15,17-NRU-8038,BMW,X3,2011-02-10,144142,8986,1310
113,2019-01-25,60-KMD-8695,TESLA,T3,2005-11-13,6688,1224,1910
114,2019-07-16,65-LHC-253,MERCEDES,S350,2008-04-01,85723,3890,1768
115,2018-07-11,51-SWC-8519,VOLVO,V2,2012-08-03,7394,8329,367
116,2019-02-07,75-GDX-3534,TOFAS,KARTAL,2015-02-28,166199,4899,1091
117,2020-01-31,60-ATV-7233,AUDI,Q3,2013-07-30,157298,4759,868
118,2019-03-21,77-XRZ-515,VOLVO,V4,2003-04-14,117680,1867,1380
119,2019-05-24,12-WRD-4786,TESLA,T2,2004-11-21,53127,1529,1513
120,2019-11-13,31-WHK-105,AUDI,Q5,2016-07-27,146171,4384,281
121,2018-09-04,63-MTW-2229,TESLA,T1,2009-10-25,18696,5707,1678
122,2018-02-11,81-DJJ-5923,FIAT,500L,2004-09-27,199214,6245,1941
123,2018-06-07,62-PPA-1760,PEUGEOT,206,2002-07-16,92380,1959,635
124,2019-07-04,01-BMD-8639,VOLVO,V1,2003-08-07,40180,2046,481
125,2019-10-22,68-JPL-2310,TESLA,T4,2010-07-18,145006,4264,299
126,2020-01-02,76-QAG-1179,FIAT,500,2016-05-26,32157,217,1088
127,2018-09-17,52-GVJ-1714,MERCEDES,C180,2014-09-26,24956,4679,1144
128,2019-12-27,25-EXC-9173,BMW,X3,2011-01-09,32409,2636,1359
129,2020-01-08,42-KIJ-3187,AUDI,Q7,2013-11-22,169645,9113,734
130,2019-02-26,28-AWW-4809,VOLKSWAGEN,JETTA,2005-05-14,17684,5301,1753
131,2018-01-08,81-ODQ-9702,FIAT,500,2004-02-19,16258,9980,1808
132,2018-09-02,14-PNX-8525,FORD,KA,2010-05-16,18571,7203,417
133,2019-03-01,72-SPA-365,FIAT,DOBLO,2017-05-16,58392,9147,1504
134,2018-09-30,58-WCF-4804,MERCEDES,E200,2000-09-29,147577,8518,1805
135,2019-04-09,17-KOU-3660,FORD,KA,2017-08-04,22066,5364,1585
136,2019-10-24,64-FSK-4967,VOLKSWAGEN,JETTA,2007-01-24,77064,6849,1317
137,2019-10-09,25-SAV-1962,VOLKSWAGEN,PASSAT,2017-08-18,142101,9182,1435
138,2020-05-26,41-HOW-850,FORD,FOCUS,2019-02-25,147561,2785,1384
139,2018-01-26,34-BLN-6676,SAAB,S1,2001-02-26,129585,8821,1399
140,2019-08-31,49-AQM-8293,FORD,FOCUS,2006-05-22,88597,2216,1714
141,2018-10-07,34-RVU-1051,FIAT,EGEA,2008-07-26,136300,9296,250
142,2018-05-09,02-KML-4356,AUDI,A6,2009-03-09,132737,1517,1428
143,2018-08-06,76-KGB-1988,SAAB,S1,2003-05-25,36222,1010,833
144,2018-04-06,03-BRR-9153,TESLA,T1,2006-09-07,58261,5143,878
145,2018-12-02,35-UNQ-3172,MERCEDES,S600,2005-03-23,43658,4808,1801
146,2018-08-02,54-JPD-2217,SAAB,S4,2004-12-16,33868,5626,1724
147,2019-08-15,54-CYV-2469,MERCEDES,S600,2015-09-10,82242,7266,1745
148,2019-02-16,57-DLO-8809,FORD,FOCUS,2001-02-27,83014,9480,1510
149,2018-10-18,60-VJK-4531,VOLVO,V2,2012-12-16,70687,3165,1534
150,2019-09-18,38-YLV-1574,MERCEDES,S350,2016-01-28,143331,824,663
151,2018-06-09,16-NPW-618,FORD,FIESTA,2006-01-20,197465,5539,1372
152,2020-01-06,81-VDT-2534,FIAT,EGEA,2019-01-10,130058,5261,567
153,2019-11-12,42-COH-3256,VOLVO,V2,2016-07-24,175348,9819,258
154,2018-05-15,49-EYQ-8859,FIAT,EGEA,2003-03-10,34792,1607,788
155,2020-05-30,30-VES-8332,AUDI,Q5,2005-12-14,177048,2823,1434
156,2020-01-28,50-ZEV-6195,FIAT,DOBLO,2012-09-01,98844,2142,1492
157,2020-03-13,80-BTX-4236,SAAB,S2,2012-05-11,45927,3991,1339
158,2018-07-19,02-OIF-4619,BMW,X5,2007-06-28,104998,547,1310
159,2018-05-25,57-FEE-909,FIAT,EGEA,2000-12-20,177320,886,942
160,2020-01-18,33-REP-5683,FORD,FOCUS,2016-02-15,136366,9772,1196
161,2018-01-26,16-OVM-9613,BMW,X3,2010-04-23,150221,9959,1522
162,2019-09-08,52-OBT-4145,AUDI,A6,2017-09-24,98002,7809,349
163,2018-10-26,43-TTZ-3712,FIAT,500,2012-11-11,12802,7294,1665
164,2019-11-09,29-ZPE-1312,SAAB,S1,2007-03-12,140854,9983,338
165,2018-02-14,12-KWN-8928,TESLA,T2,2012-09-23,45890,6103,359
166,2019-04-24,63-KMV-1834,FORD,FIESTA,2012-11-15,181260,7887,1028
167,2019-08-25,45-JHZ-4685,FIAT,500L,2002-07-23,47167,2614,1478
168,2018-11-14,47-XPJ-5572,TOFAS,SAHIN,2018-04-27,43105,2318,1171
169,2020-04-01,09-UME-3127,FORD,FIESTA,2020-01-28,113405,8569,397
170,2019-06-11,27-AYZ-7812,BMW,X5,2009-02-21,188123,2823,799
171,2020-02-11,66-RCN-8000,AUDI,A6,2017-09-18,11159,5562,1939
172,2019-01-23,71-YWD-6430,TESLA,T3,2008-12-25,100722,9401,1260
173,2018-11-23,09-SPK-2789,FIAT,500L,2008-01-13,185695,8846,1388
174,2018-01-21,05-BYN-5958,AUDI,Q5,2011-03-23,47503,1252,1006
175,2018-10-29,14-WKC-3959,AUDI,Q7,2012-07-29,139960,2634,1846
176,2018-07-18,56-YJF-5413,PEUGEOT,306,2008-09-17,60596,4186,1654
177,2018-06-03,36-ZRD-9779,FIAT,500L,2000-09-14,177804,7465,1585
178,2019-06-22,35-MAM-1363,FIAT,EGEA,2019-02-09,171681,4281,1929
179,2019-08-16,22-UFX-9233,PEUGEOT,407,2019-03-20,17688,7006,1671
180,2020-01-24,48-ATK-4623,SAAB,S4,2008-02-15,70477,7704,287
181,2020-02-10,29-DBW-9987,PEUGEOT,407,2014-05-22,185419,9872,341
182,2018-01-30,23-TWR-2388,BMW,X7,2014-05-31,83624,9245,1841
183,2018-04-03,78-UPR-1872,TESLA,T2,2009-10-30,185619,9985,633
184,2018-12-16,61-FBG-8034,TESLA,T2,2007-11-08,53332,1679,1999
185,2018-10-31,34-CEH-3569,PEUGEOT,407,2005-02-19,185172,3706,367
186,2020-05-03,39-GLP-5052,FORD,FOCUS,2014-01-13,128550,8895,1824
187,2019-11-05,21-NSX-1223,TOFAS,KARTAL,2003-01-07,104882,656,647
188,2019-10-03,68-BJU-1817,BMW,X7,2003-10-08,120951,974,1285
189,2019-07-20,72-BSL-24,VOLKSWAGEN,PASSAT,2006-09-07,127770,5748,1794
190,2019-07-24,67-BTL-3802,VOLKSWAGEN,PASSAT,2011-11-27,58400,7935,406
191,2019-02-18,08-ALC-7855,FORD,FIESTA,2006-10-13,103101,9005,1304
192,2018-06-09,72-WQX-7806,FORD,FOCUS,2014-12-06,24716,5004,1448
193,2019-10-04,65-QJU-6478,VOLKSWAGEN,POLO,2016-03-21,96932,5989,1515
194,2019-07-11,53-KUH-6358,TOFAS,SAHIN,2017-09-13,171051,7409,1236
195,2019-11-26,49-YMM-7953,MERCEDES,E200,2019-04-17,39003,9101,885
196,2019-08-27,48-VZA-3528,TESLA,T1,2009-01-19,115242,1273,728
197,2019-02-13,05-BMD-9355,BMW,X7,2014-05-14,125205,4364,1118
198,2020-03-07,45-YVM-2838,BMW,X7,2005-10-23,25421,8704,1141
199,2019-11-24,29-JHG-268,PEUGEOT,407,2005-10-27,107871,3996,475
200,2019-10-24,12-JGN-9127,FIAT,DOBLO,2014-08-06,159184,2450,1304
201,2019-03-20,54-JCC-3675,TOFAS,KARTAL,2006-01-15,48342,9811,887
202,2019-10-05,53-HLM-2243,BMW,X7,2006-08-28,109746,7713,1697
203,2020-03-30,41-IZM-2316,PEUGEOT,306,2010-09-13,50192,6235,772
204,2018-04-24,22-GDK-4532,FIAT,500,2007-11-27,26260,8681,871
205,2019-10-20,79-FCD-4900,VOLKSWAGEN,JETTA,2012-06-20,62023,9942,1161
206,2020-04-09,30-PFE-3225,TOFAS,KARTAL,2017-06-26,48589,3547,1159
207,2019-03-17,20-BQC-8513,TESLA,T2,2010-11-06,43991,2914,497
208,2019-06-13,46-CLG-4417,TOFAS,KARTAL,2008-10-18,76452,9611,1626
209,2018-03-28,09-EYL-6319,VOLKSWAGEN,POLO,2012-03-16,37830,5226,1251
210,2019-02-02,11-XQV-3398,TESLA,T2,2000-05-12,121152,7083,277
211,2018-11-11,71-KXX-9753,SAAB,S4,2010-05-09,106466,3541,1417
212,2019-07-28,43-LNL-6008,TOFAS,DOGAN,2003-07-25,83330,71,656
213,2018-06-21,19-SDF-6384,VOLVO,V4,2014-05-19,199310,5241,769
214,2019-09-15,68-HLS-3937,MERCEDES,S350,2006-10-02,30865,6465,1671
215,2020-02-20,47-XQB-9087,TOFAS,KARTAL,2003-04-23,99501,7914,1677
216,2018-10-27,01-XHM-4426,VOLKSWAGEN,PASSAT,2014-03-25,5931,2976,1500
217,2018-09-07,57-XXP-1271,VOLKSWAGEN,POLO,2017-02-25,98681,1073,993
218,2018-06-30,74-KWO-1997,TESLA,T2,2008-04-19,68149,1492,1629
219,2018-04-16,75-FQW-1636,AUDI,A6,2005-01-19,16267,6488,599
220,2018-08-20,18-KLY-181,TESLA,T2,2015-06-17,53118,9191,949
221,2019-10-08,53-NDU-849,VOLKSWAGEN,PASSAT,2006-11-20,49377,2683,1602
222,2019-03-15,34-KSQ-1803,FORD,FIESTA,2000-08-17,74028,7971,1732
223,2019-08-04,53-OGA-3890,MERCEDES,C180,2014-07-24,132082,3334,1218
224,2018-11-02,10-RVS-6626,AUDI,Q3,2012-07-12,117120,2287,1867
225,2019-10-17,56-DMS-1769,TOFAS,DOGAN,2001-06-30,8494,655,765
226,2018-08-15,69-UFV-1663,MERCEDES,S600,2000-12-18,128259,5143,1544
227,2018-12-30,19-QDV-3694,TOFAS,DOGAN,2007-06-03,66892,1419,880
228,2018-03-21,16-VGX-5983,PEUGEOT,206,2016-09-16,101071,4100,1749
229,2019-03-26,04-VVB-2322,VOLVO,V1,2005-05-21,32639,8047,752
230,2019-11-21,09-TGC-7803,BMW,X3,2014-10-30,54220,8853,277
231,2019-05-11,41-BIX-3253,SAAB,S4,2012-06-16,146727,6459,1006
232,2019-05-18,04-RAZ-1706,VOLVO,V3,2012-02-28,134245,6693,1143
233,2018-01-03,39-RAJ-7236,SAAB,S4,2009-11-11,14839,4726,755
234,2020-02-26,37-QOU-7282,FORD,KA,2016-12-05,110354,5609,390
235,2018-06-18,59-BHN-5348,BMW,X7,2004-08-22,67924,2450,999
236,2018-01-01,19-KJT-9901,VOLVO,V4,2015-03-03,170834,5830,1765
237,2019-01-11,57-WPJ-1090,VOLVO,V2,2010-11-02,144142,4822,272
238,2018-02-25,62-EES-5739,MERCEDES,S600,2015-04-05,137382,3219,1733
239,2018-12-13,73-WUV-3762,FORD,KA,2014-05-08,163313,6315,1708
240,2019-01-16,66-KXI-3913,MERCEDES,E200,2009-01-20,130172,8636,1747
241,2018-01-06,06-VTQ-934,FORD,FIESTA,2003-08-18,135917,6711,1882
242,2018-02-12,65-BYN-5623,FORD,FIESTA,2000-03-29,115219,2092,341
243,2018-05-04,20-FBB-5327,BMW,X3,2017-03-08,44081,7901,371
244,2018-09-13,49-VNQ-4753,PEUGEOT,407,2012-10-14,162795,8680,1386
245,2020-04-17,62-LUU-9485,AUDI,Q3,2019-01-10,81553,464,590
246,2019-09-20,63-JXC-2533,BMW,X5,2017-04-12,67822,5229,1892
247,2019-12-16,14-OQI-5885,FIAT,500L,2012-10-25,3439,3555,626
248,2018-11-04,35-BXC-548,MERCEDES,E200,2008-05-11,149112,2260,261
249,2018-06-19,06-MJG-4316,VOLVO,V4,2009-08-05,189282,7749,1044
250,2020-04-24,44-ONM-2675,TOFAS,SAHIN,2005-07-11,4585,2664,390
251,2018-08-17,18-TZG-1905,BMW,X5,2007-05-22,137030,1318,1927
252,2018-02-28,24-IRT-611,SAAB,S1,2012-04-12,81788,6365,872
253,2019-02-25,64-GLV-3244,VOLKSWAGEN,PASSAT,2006-07-26,78610,1362,1701
254,2020-05-24,09-HPO-456,AUDI,Q5,2001-01-02,23334,9928,602
255,2018-05-16,20-DSG-811,TESLA,T3,2007-02-17,73496,2736,1386
256,2018-03-27,53-FFR-5319,AUDI,Q7,2002-06-10,13591,8441,1206
257,2019-06-05,27-OGW-3030,PEUGEOT,306,2008-01-11,33175,771,292
258,2019-07-06,26-CEW-6794,TOFAS,DOGAN,2010-03-11,12785,1541,1604
259,2018-08-03,81-XON-8000,FIAT,500L,2014-08-01,28390,7402,1036
260,2018-06-13,76-UQS-6236,VOLKSWAGEN,JETTA,2004-05-14,100193,7406,1791
261,2019-07-04,38-MFS-6479,VOLVO,V4,2017-01-27,96507,6335,1044
262,2018-07-19,64-ETZ-3262,FORD,FOCUS,2009-07-09,35562,1578,558
263,2018-08-22,37-DUV-321,PEUGEOT,407,2015-10-04,116467,9025,1342
264,2018-08-25,05-SIB-461,AUDI,Q3,2009-03-15,151160,8802,1018
265,2020-03-14,22-CIW-562,VOLVO,V3,2006-01-24,97164,160,1034
266,2018-05-20,39-IQP-5836,TESLA,T4,2002-05-18,29273,8681,587
267,2018-02-20,76-XDA-6201,FIAT,EGEA,2001-05-05,35443,5939,1258
268,2018-01-06,27-CLX-9132,SAAB,S4,2012-06-04,173145,7640,860
269,2020-05-06,60-NMY-7481,MERCEDES,S600,2011-03-30,9589,1042,733
270,2018-07-31,39-ZCW-1000,FORD,FIESTA,2015-04-06,49407,8796,1906
271,2019-12-29,65-SWD-3751,MERCEDES,E200,2014-12-11,194623,3794,1385
272,2018-03-21,01-EHY-4742,FORD,FOCUS,2017-11-25,28757,6612,341
273,2018-10-28,49-HEH-4070,FIAT,500L,2017-02-11,20165,5179,1438
274,2018-04-01,20-WZZ-4494,FIAT,EGEA,2017-04-25,17764,8503,1929
275,2018-10-18,23-BJH-3980,SAAB,S1,2007-06-18,78767,9154,1631
276,2019-06-08,50-WFW-2684,TESLA,T3,2013-08-20,167411,8676,1503
277,2019-05-31,60-TMJ-2540,VOLVO,V3,2001-08-25,40410,4090,1669
278,2019-12-06,11-PKX-2455,FORD,FIESTA,2015-08-06,158400,4618,1318
279,2019-04-21,78-OIC-4603,VOLKSWAGEN,JETTA,2004-12-23,176035,1737,750
280,2018-04-23,64-GSZ-7841,SAAB,S2,2010-10-03,163381,1967,1969
281,2018-10-18,05-EUG-9289,TOFAS,KARTAL,2012-06-23,118347,8134,455
282,2019-04-10,50-FIV-9177,FORD,KA,2009-07-08,172178,4662,1283
283,2018-10-20,36-AAR-1527,FORD,FOCUS,2004-03-28,45834,2221,1728
284,2018-01-17,53-VHV-7422,TOFAS,KARTAL,2003-08-24,122463,5654,1709
285,2018-07-07,71-BTE-8303,TESLA,T2,2008-11-28,141242,226,1762
286,2020-04-20,75-SIR-448,SAAB,S2,2017-02-01,136766,8176,1429
287,2018-09-26,41-NYV-7359,VOLKSWAGEN,PASSAT,2010-10-22,7175,2573,865
288,2019-09-16,16-RSP-9887,FORD,FOCUS,2008-05-31,176395,3839,1483
289,2019-02-11,51-ONG-3235,AUDI,Q3,2010-02-18,30875,9563,1830
290,2018-11-04,20-TXO-1587,AUDI,Q3,2007-10-12,13664,4363,566
291,2018-01-15,10-XXG-2232,PEUGEOT,407,2006-10-12,129789,7024,424
292,2018-05-09,42-MHA-875,MERCEDES,S600,2018-03-08,56667,7706,1652
293,2018-09-19,21-PQW-9834,FIAT,500,2012-05-17,111516,1926,1401
294,2019-04-13,69-UQJ-6223,FORD,KA,2011-08-20,137912,3763,390
295,2018-08-20,09-SPL-1270,FORD,KA,2003-04-25,107269,4915,829
296,2020-05-01,09-RFX-9965,PEUGEOT,306,2010-06-01,147517,218,1142
297,2019-09-23,68-XFT-9020,AUDI,Q3,2011-07-12,36365,3940,1086
298,2019-09-23,29-AEP-8940,SAAB,S1,2013-10-29,59689,8446,1704
299,2019-09-07,48-JVL-8768,SAAB,S2,2019-05-20,183884,5255,1557
300,2020-04-09,31-UWN-7424,MERCEDES,C180,2017-05-27,99752,7743,1252
301,2019-10-01,20-DXV-4958,AUDI,Q7,2009-10-01,30607,2888,1959
302,2019-09-23,41-HBK-7639,MERCEDES,E200,2003-05-18,87181,2331,1836
303,2019-06-03,50-FJM-7975,BMW,X7,2003-05-16,59446,1205,1807
304,2018-08-24,75-VQH-787,BMW,X5,2012-01-31,137303,8761,551
305,2018-05-01,16-QKX-3848,MERCEDES,C180,2015-04-05,89854,2581,985
306,2019-01-27,78-GRG-5434,FIAT,EGEA,2016-03-20,24852,2266,1108
307,2019-11-26,21-CZC-9057,VOLVO,V2,2013-03-11,14648,9910,983
308,2018-02-06,03-RBW-6920,TOFAS,KARTAL,2006-03-03,40765,3555,1444
309,2018-11-27,20-NQR-97,FIAT,500,2017-01-05,133507,753,1290
310,2019-05-29,55-EIO-2052,SAAB,S1,2003-03-08,118626,9255,1393
311,2019-09-05,65-DFM-2364,FORD,KA,2008-05-07,51407,1248,299
312,2018-11-13,69-RSZ-636,VOLKSWAGEN,PASSAT,2013-12-01,60562,194,1179
313,2019-12-14,45-EUE-1765,TOFAS,DOGAN,2013-08-29,45697,846,783
314,2018-02-01,35-OZI-325,SAAB,S4,2003-04-14,61309,6056,1763
315,2019-07-19,72-QKG-8565,AUDI,Q5,2006-05-25,85428,5253,381
316,2018-08-08,16-DXH-6899,FORD,KA,2003-11-14,75493,8405,382
317,2018-07-15,38-DXX-7210,TOFAS,DOGAN,2016-07-24,57159,1542,348
318,2019-09-27,38-DTO-8552,PEUGEOT,206,2012-07-04,25940,7180,1165
319,2018-09-30,30-BAV-5537,TESLA,T3,2004-09-04,115898,3449,587
320,2019-10-11,29-YDZ-3143,AUDI,A6,2013-07-05,174165,396,1457
