id,tarih,plaka,marka,model,uretim_tarihi,km,parca_fiyat,iscilik_fiyat
96,2018-10-27,03-NQO-411,VOLKSWAGEN,JETTA,2005-03-13,174870,5531,1041
97,2019-03-11,40-SOT-9359,MERCEDES,S600,2001-04-12,117790,4743,1172
98,2018-07-18,56-YOJ-7913,TESLA,T2,2010-11-25,180128,7513,1027
99,2019-02-04,15-VDM-6924,AUDI,A6,2018-02-07,164189,1166,1077
100,2019-10-20,10-DOF-7907,TESLA,T1,2007-09-25,68849,2481,1096
101,2018-11-30,11-JKU-5656,VOLVO,V1,2006-10-25,100322,4459,476
102,2018-04-17,14-MLM-6158,PEUGEOT,306,2016-01-18,111515,6892,1934
103,2018-07-21,32-ZRW-7044,PEUGEOT,407,2016-02-22,126273,8615,1425
104,2018-03-17,64-WRK-1078,SAAB,S4,2011-08-30,143527,8676,1056
105,2018-12-13,20-LXD-6170,VOLKSWAGEN,JETTA,2005-11-12,155596,4445,946
106,2018-05-31,73-JPC-1556,VOLVO,V1,2001-07-24,172615,639,1490
107,2018-11-15,26-IIT-336,FIAT,500,2004-06-04,42096,468,1161
108,2018-11-24,57-FOQ-4255,SAAB,S2,2000-04-04,115429,77,811
109,2019-10-30,57-XGG-5522,TOFAS,SAHIN,2004-11-15,57942,6402,1593
110,2018-03-09,64-FSY-6616,VOLVO,V4,2000-05-08,39866,677,1649
111,2019-08-15,13-OCO-6371,AUDI,Q5,2015-10-01,167637,9292,1253
112,2019-03-10,24-ENI-2609,BMW,X7,2007-09-24,23393,7446,1983
113,2019-02-12,66-NDQ-7444,PEUGEOT,407,2009-09-05,55452,9355,619
114,2019-03-17,43-YTE-8734,TOFAS,SAHIN,2016-04-16,105857,6332,1903
115,2019-08-14,40-MCQ-1142,BMW,X5,2005-05-27,86550,7913,1651
116,2019-04-08,70-UDG-9244,TOFAS,DOGAN,2006-07-15,158822,5650,1076
117,2019-07-29,41-FJX-7690,TESLA,T4,2009-04-22,64870,4183,569
118,2018-04-22,68-WOK-7348,VOLKSWAGEN,POLO,2009-03-22,14240,2826,884
119,2019-06-25,18-DYJ-1207,VOLVO,V2,2013-05-27,99774,2802,1755
120,2018-03-31,49-QOI-2603,MERCEDES,C180,2014-11-08,123255,5794,439
121,2019-04-16,40-WHY-9669,VOLKSWAGEN,PASSAT,2017-06-25,175121,5094,1389
122,2018-07-10,12-TMM-1656,FORD,FOCUS,2007-10-31,66935,7063,660
123,2019-12-30,72-TUU-6308,TESLA,T1,2000-10-08,97254,7472,914
124,2018-09-03,47-QAE-9624,BMW,X5,2005-07-02,191155,2004,1440
125,2018-02-13,08-NSH-9433,VOLVO,V1,2014-07-30,57972,3535,313
126,2019-11-26,01-TKZ-4849,TESLA,T3,2015-08-20,63481,2977,790
127,2018-03-23,55-OIL-8155,PEUGEOT,306,2009-04-02,167669,5250,432
128,2018-02-15,45-VKD-8144,TOFAS,DOGAN,2009-12-03,57859,6467,430
129,2019-01-30,64-WCZ-9230,TESLA,T1,2016-12-20,133348,6788,1603
130,2019-11-17,17-DDA-5855,TOFAS,KARTAL,2018-08-20,40790,8904,821
131,2018-03-21,31-UCA-1373,FIAT,500L,2002-02-07,156181,4308,754
132,2018-05-20,73-DCF-5065,MERCEDES,S600,2016-05-26,98672,5671,496
133,2019-07-02,76-GDE-1086,PEUGEOT,306,2014-06-25,46829,6355,836
134,2018-06-11,36-SPB-7511,AUDI,Q7,2005-10-20,51617,7201,417
135,2018-12-30,30-EVS-1050,SAAB,S2,2008-08-18,76492,5990,1464
136,2018-01-20,51-JXC-7965,FIAT,DOBLO,2014-02-12,129201,8572,1220
137,2018-04-02,15-CTF-8326,PEUGEOT,407,2002-07-01,2803,442,672
138,2019-11-17,24-UCW-268,BMW,X7,2006-03-01,156979,636,374
139,2018-05-01,19-DYR-4796,FIAT,DOBLO,2010-11-12,190153,5864,1049
140,2019-12-07,66-BTC-8359,PEUGEOT,206,2016-08-08,66886,761,1262
141,2019-05-07,36-ACN-1502,AUDI,Q3,2004-06-14,73740,8717,996
142,2019-03-19,42-NHC-8199,VOLVO,V1,2000-12-13,170189,9327,1577
143,2019-06-09,02-SGG-3238,FORD,FOCUS,2018-01-19,111239,1706,821
144,2018-09-21,57-YSJ-1606,TESLA,T2,2016-03-02,123306,9889,774
145,2018-06-09,34-ZTY-9318,TESLA,T2,2014-05-04,80431,3565,1692
146,2019-05-01,22-ETR-5551,VOLKSWAGEN,JETTA,2004-09-04,63643,521,400
147,2019-07-07,21-WNP-2641,TESLA,T4,2003-02-04,114926,4628,1363
148,2018-05-07,53-ERF-1659,SAAB,S3,2015-09-17,88834,1744,857
149,2019-05-10,39-KUP-1869,SAAB,S1,2002-11-30,82879,69,971
150,2019-03-30,27-WKL-1331,TESLA,T4,2002-04-29,193778,7555,1633
151,2018-01-21,59-ERW-2177,VOLKSWAGEN,PASSAT,2012-12-14,16312,9756,493
152,2019-01-28,71-HQO-7407,FORD,FOCUS,2018-05-19,38948,2749,1992
153,2018-06-03,64-GTG-9650,VOLVO,V2,2005-02-20,24675,9805,1230
154,2019-12-05,52-BAM-4197,SAAB,S3,2005-11-13,157991,1978,1472
155,2018-05-19,34-EKJ-1611,MERCEDES,S600,2003-08-26,103873,5900,1253
156,2018-05-07,55-GJY-7448,PEUGEOT,407,2016-08-02,169074,3706,1912
157,2018-04-14,17-VEC-8742,VOLKSWAGEN,PASSAT,2014-06-21,96892,3429,577
158,2019-10-31,74-KJB-9801,MERCEDES,E200,2001-03-15,184582,4174,405
159,2018-03-17,17-CJQ-8944,FORD,KA,2012-10-01,134328,7397,1012
160,2019-12-09,04-GQP-332,AUDI,A6,2001-04-28,5804,4675,920
161,2019-08-07,42-GZG-5243,VOLKSWAGEN,PASSAT,2001-03-07,1961,3081,1222
162,2019-11-27,05-YEM-2282,FIAT,500L,2014-01-09,114057,6289,1147
163,2018-04-24,67-IFE-2750,TESLA,T4,2016-01-01,110655,988,1346
164,2019-11-06,61-KTP-1960,PEUGEOT,206,2017-01-16,92353,6887,1025
165,2019-01-25,56-TQT-8398,MERCEDES,S600,2003-09-24,136381,1317,1208
166,2019-05-11,42-ZTX-9991,AUDI,Q3,2017-09-06,37076,5204,1613
167,2019-01-16,01-PGW-4279,MERCEDES,S350,2018-09-29,89755,4182,1854
168,2019-09-10,80-MNF-1727,TESLA,T3,2000-08-12,14373,7673,1765
169,2019-07-16,78-WDR-6180,VOLVO,V4,2014-11-27,5322,917,1910
170,2019-02-14,39-GST-5567,PEUGEOT,407,2015-10-20,96259,5461,767
171,2019-03-08,21-GCS-9688,SAAB,S4,2013-05-15,46759,6989,1163
172,2018-10-10,09-RGC-2538,MERCEDES,S350,2012-09-10,104663,5230,441
173,2018-09-12,63-WWU-805,VOLVO,V3,2016-06-30,189637,8238,1140
174,2018-10-23,28-GJD-4194,PEUGEOT,407,2005-01-12,161727,5970,1466
175,2018-03-01,18-RJW-8786,FORD,FOCUS,2017-01-07,82084,1751,1780
176,2019-11-11,66-QXO-9082,TOFAS,KARTAL,2007-10-15,139822,8599,738
177,2018-01-19,48-RDK-8675,BMW,X3,2012-01-20,4410,2751,383
178,2019-02-07,31-JSF-6560,BMW,X5,2002-03-02,127836,6493,1534
179,2018-09-22,49-GUP-8390,TOFAS,SAHIN,2003-09-09,51181,5704,582
180,2018-02-22,77-DTE-5689,BMW,X3,2015-11-25,158470,5408,1114
181,2018-08-10,58-EFZ-2985,TESLA,T4,2012-03-05,36716,5149,1778
182,2018-07-15,51-FCG-8849,VOLKSWAGEN,POLO,2014-11-24,37441,986,1791
183,2019-05-04,63-WAL-6899,BMW,X7,2014-03-25,124264,8637,1178
184,2018-03-29,18-EXT-1664,TESLA,T2,2016-05-12,77820,4804,1500
185,2018-07-17,68-AXX-6959,VOLKSWAGEN,PASSAT,2015-03-13,168558,3796,968
186,2019-06-15,30-ZUT-9173,TOFAS,KARTAL,2007-06-24,2404,446,713
187,2018-02-18,21-VPH-2054,VOLVO,V3,2015-01-19,40565,9830,599
188,2019-06-03,80-IKF-656,TOFAS,SAHIN,2006-06-09,141590,5173,1277
189,2019-07-26,50-ADJ-3882,TESLA,T2,2001-08-21,75983,7374,556
190,2019-05-22,45-DMF-1946,BMW,X3,2006-11-07,198109,4447,1502
191,2019-05-13,59-BAC-1782,MERCEDES,E200,2016-01-03,98880,7881,451
192,2018-07-15,34-UDG-1318,SAAB,S4,2014-03-15,99408,819,1677
193,2019-05-16,43-HLY-3651,FORD,FOCUS,2007-11-04,54452,4471,263
194,2018-11-22,43-FWJ-610,MERCEDES,E200,2000-02-05,137693,7833,396
195,2018-04-26,69-ZJV-491,VOLVO,V1,2009-07-03,165658,114,1525
196,2018-02-16,24-SXH-9088,TOFAS,SAHIN,2004-04-22,159875,1037,579
197,2018-05-21,62-BIW-3026,FORD,FIESTA,2013-08-14,34302,9710,1122
198,2019-01-31,57-DIN-7897,PEUGEOT,407,2000-09-13,175442,4762,1318
199,2018-04-03,76-WWI-2380,MERCEDES,C180,2003-06-30,120418,3672,1604
200,2019-03-08,04-MCH-4341,AUDI,A6,2004-04-16,167583,7085,1822
201,2018-12-17,32-MFM-3439,AUDI,A6,2008-12-07,87164,1672,856
202,2019-09-23,46-PTJ-9195,SAAB,S1,2002-12-05,111368,2924,811
203,2019-03-14,27-BOZ-93,TESLA,T2,2011-01-15,186142,3611,1814
204,2018-02-28,47-GHS-5648,BMW,X5,2006-12-13,126926,3835,1821
205,2018-12-19,45-HLD-3943,MERCEDES,S600,2012-08-06,147111,6489,494
206,2018-07-11,75-YON-1976,VOLKSWAGEN,POLO,2010-08-02,11728,7958,466
207,2019-09-30,37-VPJ-3235,TOFAS,SAHIN,2013-09-01,96763,4555,1639
208,2018-02-20,41-QTL-5891,FORD,FOCUS,2008-06-10,154065,6240,730
209,2018-03-03,46-LRL-6128,TOFAS,DOGAN,2006-07-23,13464,6568,338
210,2018-11-20,34-WGK-5062,TOFAS,KARTAL,2011-01-17,161964,2312,274
211,2019-06-19,05-OJH-4366,FIAT,DOBLO,2001-07-12,156075,1541,820
212,2019-09-24,21-UKN-8301,VOLVO,V4,2015-07-14,73152,600,1461
213,2018-10-30,64-JTO-3776,VOLKSWAGEN,PASSAT,2011-03-06,159951,2901,1526
214,2019-07-14,19-MWF-1293,VOLKSWAGEN,JETTA,2014-06-13,139210,92,790
215,2019-03-24,71-FLY-204,FORD,FOCUS,2013-10-01,26992,2132,835
216,2019-02-09,57-XBX-7361,FORD,FIESTA,2013-10-30,22580,9396,1748
217,2018-02-16,40-AVR-9112,FORD,FIESTA,2002-03-04,140439,7263,1463
218,2019-05-13,03-SPZ-2265,TESLA,T4,2018-05-12,30548,1225,403
219,2019-03-01,29-PVO-1039,VOLKSWAGEN,PASSAT,2007-06-08,66060,2278,1323
220,2019-03-17,69-YLG-3404,TOFAS,KARTAL,2011-09-03,142964,9260,861
221,2018-09-18,47-NRR-6559,AUDI,Q5,2015-10-08,74721,4387,1953
222,2018-03-18,40-PKE-781,MERCEDES,C180,2009-07-03,133175,4107,1690
223,2018-01-27,14-RQN-5830,VOLKSWAGEN,POLO,2017-05-08,17144,6906,1005
224,2019-08-11,37-DBB-3915,FORD,KA,2013-12-11,133961,5635,1860
225,2018-11-09,06-IRV-8430,VOLVO,V1,2017-03-16,16038,3835,784
226,2018-10-21,38-GMM-3555,VOLVO,V3,2012-08-12,127257,8273,1698
227,2019-11-17,60-WBO-2960,AUDI,Q5,2007-10-17,106467,3381,750
228,2019-07-02,27-FNA-4414,SAAB,S4,2003-06-21,88081,5376,254
229,2018-08-09,45-SIK-414,PEUGEOT,306,2012-01-25,88837,4047,1278
230,2018-12-17,64-JFO-5105,BMW,X3,2016-07-05,158788,4519,787
231,2019-12-13,53-YXX-3316,BMW,X3,2007-04-28,188279,3489,350
232,2018-10-07,01-BIS-8414,FORD,FIESTA,2016-10-27,54588,7392,930
233,2018-01-20,08-IGR-7988,TOFAS,KARTAL,2004-03-26,110425,2149,327
234,2019-05-06,03-APT-3276,VOLVO,V1,2006-04-08,25219,1251,777
235,2018-10-17,78-YMD-6119,FORD,FOCUS,2007-01-14,81597,4218,1612
236,2018-12-18,08-TPR-1673,BMW,X7,2003-11-30,173313,1984,1075
237,2019-07-31,78-GGB-8204,FORD,FOCUS,2019-04-23,143534,6720,687
238,2018-11-09,07-RXT-9915,AUDI,Q3,2017-11-04,79611,754,1568
239,2018-10-14,27-SBN-976,FORD,FIESTA,2016-10-17,196456,6690,1234
240,2018-06-29,71-SDG-2300,SAAB,S2,2018-05-17,142254,9706,1894
241,2019-07-09,15-LAS-6381,FORD,FIESTA,2006-01-06,184501,2357,1689
242,2018-01-09,31-GPG-8280,FIAT,500L,2012-02-09,128135,5251,1132
243,2018-05-21,44-CRK-1720,FIAT,EGEA,2013-08-30,170710,1993,680
244,2019-03-11,56-NYS-834,TESLA,T1,2003-12-21,181951,2910,611
245,2018-08-11,37-ATC-1373,FIAT,EGEA,2012-05-23,189970,4414,1067
246,2019-01-04,44-XEB-3501,PEUGEOT,206,2004-05-28,73140,5023,911
247,2019-06-03,05-YNZ-5377,FORD,FIESTA,2005-11-09,116379,8864,1860
248,2019-12-31,64-EJG-7186,PEUGEOT,407,2017-12-15,131288,7172,1003
249,2018-10-06,13-JBR-1492,MERCEDES,C180,2006-06-30,183659,7316,1822
250,2018-11-26,02-ZHO-287,TOFAS,DOGAN,2007-01-26,67665,1797,1790
251,2019-09-26,59-JRU-5305,AUDI,A6,2013-05-05,151037,6920,630
252,2018-07-08,57-BHM-6449,PEUGEOT,206,2004-05-24,34157,6036,361
253,2019-03-07,29-DTF-1683,VOLKSWAGEN,JETTA,2010-08-28,9301,7212,1433
254,2018-06-14,34-NAM-2714,TOFAS,DOGAN,2001-10-12,66775,3399,1217
255,2019-10-27,31-LKT-3290,AUDI,Q7,2014-10-03,165035,9021,361
256,2018-01-05,15-PIF-3463,SAAB,S2,2012-02-02,180335,4744,1147
257,2018-03-08,78-NAI-8364,TOFAS,DOGAN,2011-01-01,181493,5292,1330
258,2018-08-03,75-KQJ-1627,VOLKSWAGEN,PASSAT,2004-12-08,139816,4509,1213
259,2018-01-04,29-JVW-7055,SAAB,S4,2002-08-26,112823,7267,1748
260,2019-04-02,66-OPJ-8956,SAAB,S4,2003-11-26,37154,7678,257
261,2018-01-15,06-ADJ-7953,PEUGEOT,306,2009-08-28,55532,9554,482
262,2018-02-10,11-CWW-8704,AUDI,Q3,2001-11-24,144664,4227,638
263,2018-03-28,01-MYS-9886,SAAB,S1,2006-06-15,147055,3864,1515
264,2018-05-16,76-BRI-33,FORD,FOCUS,2014-06-30,183875,4391,933
265,2019-02-22,73-GNO-7329,TESLA,T2,2016-03-28,54383,8990,1830
266,2018-08-26,16-XAJ-5495,PEUGEOT,407,2002-02-26,14278,8228,1749
267,2019-01-09,51-TCL-1262,TOFAS,KARTAL,2011-10-19,26402,5386,1190
268,2018-01-14,45-HSQ-5345,PEUGEOT,306,2008-03-17,44863,1016,325
269,2019-06-22,30-MVE-5577,BMW,X5,2010-04-25,53673,3324,412
270,2018-08-04,37-YQT-4566,MERCEDES,S350,2001-04-07,11385,69,579
271,2019-09-01,43-LFQ-2635,TESLA,T3,2001-07-07,100492,5856,416
272,2018-03-26,47-IIL-1656,MERCEDES,C180,2011-05-16,89659,8100,844
273,2018-03-02,13-OFM-3634,VOLVO,V1,2003-09-17,66248,1267,1583
274,2018-04-09,54-WKJ-6057,MERCEDES,C180,2000-09-06,98329,69,1796
275,2018-06-03,12-YWA-2724,FIAT,EGEA,2015-09-05,103383,2916,637
276,2018-06-11,77-WVO-7725,VOLKSWAGEN,PASSAT,2006-11-06,3114,1120,1977
277,2019-05-21,41-FYP-481,PEUGEOT,206,2016-10-21,20641,6130,981
278,2018-03-26,49-AGX-6299,SAAB,S1,2005-05-03,93200,4446,1733
279,2019-10-22,65-AWH-7191,PEUGEOT,306,2013-03-06,22351,8797,1169
280,2019-02-09,35-YJP-26,VOLVO,V4,2007-07-01,134967,9315,921
281,2019-12-12,10-DEM-7044,MERCEDES,S350,2017-05-29,36064,8032,491
282,2018-12-11,55-SZI-1990,BMW,X5,2004-01-22,148886,6533,1493
283,2018-10-27,10-WBO-271,TESLA,T2,2007-12-27,26876,855,902
284,2019-11-07,74-ASX-7079,SAAB,S4,2006-06-21,60898,5763,442
285,2018-06-03,20-LQJ-4849,SAAB,S1,2007-02-05,167746,1060,586
286,2018-07-29,25-VND-4971,SAAB,S1,2002-10-18,180759,3250,1268
287,2018-09-13,81-VAP-5407,PEUGEOT,407,2012-05-16,115662,919,1403
288,2018-06-09,22-UNB-6661,TOFAS,KARTAL,2013-03-22,26648,6242,1917
289,2018-05-21,67-AWS-248,SAAB,S3,2014-03-26,23461,7129,635
290,2019-01-09,24-AHE-2026,VOLVO,V2,2001-08-17,187733,2621,845
291,2019-12-05,09-FFM-3014,FORD,KA,2009-05-11,180822,4282,1159
292,2018-11-14,20-LIH-3420,VOLKSWAGEN,PASSAT,2010-05-12,63637,5663,1569
293,2018-12-01,11-WEK-2266,FORD,FIESTA,2015-03-05,32779,8375,1921
294,2018-05-04,18-LPL-2125,FIAT,EGEA,2001-01-02,2922,6025,586
295,2019-04-27,20-FAW-5435,PEUGEOT,306,2008-01-19,180859,6732,1200
296,2019-04-25,51-ONP-4824,VOLKSWAGEN,JETTA,2012-02-06,171038,9936,358
297,2019-09-06,19-LZJ-9183,VOLKSWAGEN,JETTA,2001-02-23,54815,593,960
298,2018-12-17,60-RLR-5484,SAAB,S4,2011-08-25,153538,1657,315
299,2019-04-25,34-XZG-6721,FORD,FOCUS,2011-11-09,112449,5792,476
300,2018-05-29,37-GCD-8682,MERCEDES,S350,2000-04-29,59860,6180,376
301,2019-11-05,49-NTD-1223,PEUGEOT,206,2019-10-30,57514,7834,1873
302,2019-05-13,34-QVZ-6526,AUDI,A6,2011-03-23,50272,7177,1724
303,2018-10-19,72-UHL-4585,AUDI,Q7,2014-03-20,37146,8058,483
304,2018-01-27,77-ICV-6417,FIAT,500L,2012-10-27,132218,3582,1308
305,2019-07-24,62-TDV-2252,VOLVO,V1,2001-02-01,172294,9656,1700
306,2018-06-17,55-SUB-7869,VOLKSWAGEN,JETTA,2008-07-18,127847,3764,620
307,2018-11-10,29-PZB-2844,AUDI,Q3,2015-10-11,38439,3616,1695
308,2019-02-01,43-NND-8487,TESLA,T4,2011-02-23,94682,9077,788
309,2018-07-12,59-XEQ-8610,AUDI,A6,2016-11-19,183274,4535,982
310,2018-09-22,06-UAX-6721,VOLVO,V4,2002-07-13,5752,2003,404
311,2019-10-11,71-KIM-7106,TOFAS,KARTAL,2012-09-19,88737,4722,1190
312,2018-09-17,67-MQI-3350,BMW,X5,2001-10-13,118319,7017,321
313,2019-07-06,17-HFZ-8933,MERCEDES,C180,2008-03-15,70962,2257,1545
314,2018-08-01,28-WVF-7956,VOLKSWAGEN,POLO,2012-07-08,41879,395,676
315,2018-03-17,71-OCV-4209,TOFAS,DOGAN,2001-01-09,59234,7781,376
316,2018-03-20,73-UKZ-3689,MERCEDES,C180,2006-04-17,20024,2943,1664
317,2018-09-14,17-NAP-1855,FORD,FOCUS,2000-01-04,17464,8301,750
318,2018-10-15,20-AXR-1094,AUDI,Q7,2012-05-25,170594,8339,1862
319,2019-10-10,03-JHG-3875,AUDI,Q7,2002-07-25,26316,3796,1457
320,2018-03-05,66-JFN-4206,AUDI,A6,2002-10-12,110858,6598,570
